Site,Plant family,Plant species ,Plant code,Origin,Status,No. plants,Floral abundance,lp,Visitation rate
C,Annonaceae,Xylopia lamarckii ,Xy la,E,CR,2,0.0003,0,0
C,Apocynaceae,Tabernaemontana persicariaefolia,Ta per,E,EN,6,0.007,3,0.165
C,Asteraceae,Faujasiopsis flexuosa ssp erecta,Fa fl,E,VU,164,0.004,9,0.649
C,Asteraceae,Helichrysum proteoides,He pr,E,EN,12,0.297,14,0.438
C,Asteraceae,Psiadia terebinthina,Psi te,E,VU,155,0.484,38,0.568
C,Chrysobalanaceae,Grangeria borbonica,Gr bo,N,VU,7,0.009,14,0.509
C,Clusiaceae,Calophyllum eputamen var eputamen,Ca ep,E,VU,32,0.011,4,0.39
C,Clusiaceae,Harungana madagascariensis,Ha ma,I,–,8,0.01,3,1.308
C,Dracaenaceae,Dracaena reflexa var angustifolia,Dr re,N,LC,3,0.003,13,0.625
C,Ebenaceae,Diospyros revaughanii,Di re,E,VU,3,0.001,3,0.698
C,Erythroxylaceae,Erythroxylum macrocarpum,Er ma,E,VU,35,0.022,29,1.206
C,Euphorbiaceae,Antidesma madagascariense,An ma,N,LC,2,0.075,5,0.222
C,Euphorbiaceae,Claoxylon linostachys ssp brachyphyllum,Cl li,E,CR,1,0.013,4,0.14
C,Euphorbiaceae,Cordemoya integrifolia,Co in,N,LC,8,0.009,3,0.103
C,Euphorbiaceae,Croton fothergillifolius,Cr fo,E,CR,46,0.049,28,0.995
C,Euphorbiaceae,Croton grangeroides,Cr gr,E,EN,57,0.026,12,0.303
C,Euphorbiaceae,Homalanthus populifolius,Ho po,I,–,67,0.035,18,1.131
C,Euphorbiaceae,Phyllanthus phillyreifolius var telfairianus,Ph ph,E,VU,7,0.045,10,0.207
C,Euphorbiaceae,Stillingia lineata ssp lineata,St li,N,LC,234,0.059,33,4.797
C,Flacourtiaceae,Aphloia theiformis,Ap th,N,LC,877,0.279,28,0.799
C,Flacourtiaceae,Casearia coriacea,Ca co,N,VU,174,0.002,4,0.597
C,Flacourtiaceae,Erythrospermum monticolum var monticolum,Er mo,E,VU,1,0.002,0,0
C,Flagellariaceae,Flagellaria indica,Fl in,N,LC,8,0.03,2,0.112
C,Malvaceae,Trochetia blackburniana,Tr bl,E,EN,19,0.001,2,0.893
C,Melastomataceae,Clidemia hirta,Cl hi,I,–,3,0.001,0,0
C,Melastomataceae,Ossaea marginata,Os ma,I,–,223,0.176,0,0
C,Melastomataceae,Tristhema mauritiana,Tr ma,N,LC,12,0.001,2,0.3
C,Melastomataceae,Warneckea trinervis,Wa tr,E,VU,27,0.024,2,0.03
C,Meliaceae,Turraea rigida,Tu ri,E,CR,5,0.001,1,0.101
C,Myrsinaceae,Ardisia crenate,Ar cr,I,–,36,0.005,0,0
C,Myrsinaceae,Badula insularis,Ba in,E,EN,2,0.003,2,0.439
C,Myrsinaceae,Badula platiphylla,Ba pl,E,CR,7,0.004,5,0.493
C,Myrsinaceae,Embelia angustifolia,Em an,N,EN,3,0.003,6,0.107
C,Myrtaceae,Eugenia orbiculata,Eu or,E,VU,30,0.001,1,0.125
C,Myrtaceae,Psidium cattleianum,Ps ca,I,–,49626,0.264,11,0.622
C,Myrtaceae,Syzygium commersonii ,Sy com,E,VU,2,0.002,3,0.318
C,Myrtaceae,Syzygium coriaceum,Sy cor,E,VU,345,0.119,10,0.368
C,Myrtaceae,Syzygium glomeratum,Sy gl,E,VU,113,0.01,3,0.156
C,Myrtaceae,Syzygium petrinense,Sy pe,E,EN,10,0.007,8,0.241
C,Ochnaceae,Ochna mauritiana,Oc ma,E,VU,166,0.139,16,0.951
C,Oleaceae,Olea lancea,Ol la,N,LC,570,0.073,5,0.359
C,Pittosporaceae,Pittosporum senacia,Pi se,N,LC,5,0.002,0,0
C,Rosaceae,Rubus alcefolius,Ru al,I,–,68,0.007,4,0.813
C,Rubiaceae,Antirhea borbonica,An bo,N,LC,1157,0.952,10,0.116
C,Rubiaceae,Bertiera zaluzania,Be za,E,VU,5,0.008,12,1.467
C,Rubiaceae,Chassalia coriacea var coriacea,Ch co,E,EN,20,0.026,7,0.341
C,Rubiaceae,Coffea macrocarpa,Co mac,E,VU,21,0.019,4,0.184
C,Rubiaceae,Coffea mauritiana,Co mau,N,VU,6,0.007,1,0.036
C,Rubiaceae,Gaertnera psychotrioides/edentata2,Ga ps,E,EN,196,0.107,17,0.455
C,Rubiaceae,Gaertnera rotundifolia,Ga ro,E,CR,16,0.02,1,0.048
C,Rubiaceae,Myonima violacea var ovata,My vi,E,VU,23,0.119,13,0.574
C,Rubiaceae,Psathura terniflora,Ps te,E,VU,5,0.001,2,4
C,Rutaceae,Euodia obtusifolia ssp gigas var gigas,Eu ob gi,N,CR,1,0,1,0.308
C,Rutaceae,Toddalia asiatica,To as,N,LC,2,0.008,15,1.678
C,Sapindaceae,Dodonaea viscosa ,Do vi,N,LC,50,0.062,19,0.169
C,Sapindaceae,Doratoxylon apetalum var diphyllum,Do ap di,N,VU,7,0.005,2,1
C,Sapindaceae,Molinaea alternifolia,Mo al,N,VU,184,0.083,19,1.238
C,Sapindaceae,Molinaea macrantha,Mo ma,E,VU,3,0.005,3,0.431
C,Sapotaceae,Labourdonnaisia calophylloides,La ca,N,VU,196,0.081,5,0.378
C,Sapotaceae,Sideroxylon cinereum,Si ci,E,VU,360,0.567,31,1.005
C,Sapotaceae,Sideroxylon puberulum,Si pu,E,VU,457,0.723,13,0.914
C,Smilacaceae,Smilax anceps,Sm an,N,LC,26,0.01,1,0.014
C,Thymelaeaceae,Wikstroemia indica,Wi in,I,–,2027,0.346,1,0.041
,,,,,,,,,
,,,,,,,,,
,,,,,,,,38,
,,,,,,,,8.492063492,
