Site,Animal order,Animal family,Animal species ,Animal code,Origin,No. of visits,Probed flowers (mean ± SE),la
U,Hymenoptera,Braconidae,Agathidinae sp,5,Un,1,5.00,1
U,Coleoptera,Cucujidae,Ahasverus advena,7,I,14,2.21 ± 0.32,5
U,Diptera,Syrphidae,Allograpta nasuta,8,N,63,4.48 ± 0.56,20
U,Hymenoptera,Apidae,Apis mellifera,13,I,682,8.80 ± 0.35,28
U,Diptera,Muscidae,Atherigona orientalis,14,N,1,2.00,1
U,Hymenoptera,Formicidae,Brachymyrmex sp,17,N,96,1.92 ± 0.10,12
U,Lepidoptera,Pieridae,Calopsilia florella,19,I,1,1.00,1
U,Hymenoptera,Ichneumonidae,Campopleginae sp,20,Un,2,2.00 ± 0.00,1
U,Coleoptera,Cerambycidae,Cerambycidae sp 1,22,Un,4,2.25 ± 0.25,2
U,Coleoptera,Cerambycidae,Cerambycidae sp 2,23,Un,1,1.00,1
U,Coleoptera,Cerambycidae,Cerambycidae sp 3,24,Un,1,2.00,1
U,Diptera,Tephritidae,Ceratitis roas,25,I,1,1.00,1
U,Coleoptera,Chrysomelidae,Chaetocnema sp,26,I,702,1.73 ± 0.05,34
U,Hymenoptera,Braconidae,Cheloninae sp 1,27,Un,3,3.67 ± 0.67,1
U,Hymenoptera,Braconidae,Cheloninae sp 3,29,Un,2,1.00,1
U,Diptera,Calliphoridae,Chrysomya megacephala,31,N,67,5.31 ± 0.78,17
U,Hemiptera,Cixiidae,Cixiidae sp 1,33,Un,1,3.00,1
U,Hemiptera,Cixiidae,Cixiidae sp 2,34,Un,1,1.00,1
U,Hymenoptera,Braconidae,Cotesia sp 1,36,Un,3,1.33 ± 0.33,1
U,Coleoptera,Curculionidae,Cratopus psittacus,37,Un,1,7.00,1
U,Coleoptera,Chrysomelidae,Cryptocephalinae sp,39,Un,1,1.00,1
U,Coleoptera,Melyridae,Dasytinae sp,40,Un,1,3.00,1
U,Diptera,Tephritidae,Dioxyna sororcula,41,I,25,3.12 ± 0.37,7
U,Diptera,Unknown,Diptera sp 2,43,Un,1,2.00,1
U,Diptera,Unknown,Diptera sp 3,42,Un,1,2.00,1
U,Lepidoptera,Arctiidae,Dysauxes florida,48,E,163,6.52 ± 0.52,18
U,Diptera,Syrphidae,Episyrphus sp near circularis,50,N,22,2.50 ± 0.55,12
U,Diptera,Syrphidae,Eristalinus flaveolus,51,N,27,4.22 ± 0.80,11
U,Coleoptera,Chrysomelidae,Eumolpinae sp 2,53,Un,1,2.00,1
U,Coleoptera,Chrysomelidae,Eumolpinae sp 3,54,Un,5,1.80 ± 0.20,2
