Node,BiSBM_Community
Antidesma madagascariense,1
Antirhea borbonica,46
Aphloia theiformis,17
Ardisia crenate,129
Badula insularis,1
Badula platiphylla,1
Bertiera zaluzania,46
Calophyllum eputamen var eputamen,1
Casearia coriacea,1
Chassalia coriacea var coriacea,1
Claoxylon linostachys ssp brachyphyllum,17
Clidemia hirta,129
Coffea macrocarpa,1
Coffea mauritiana,1
Cordemoya integrifolia,1
Croton fothergillifolius,17
Croton grangeroides,1
Diospyros revaughanii,1
Dodonaea viscosa ,17
Doratoxylon apetalum var diphyllum,1
Dracaena reflexa var angustifolia,46
Embelia angustifolia,1
Erythrospermum monticolum var monticolum,129
Erythroxylum macrocarpum,17
Eugenia orbiculata,1
Euodia obtusifolia ssp gigas var gigas,1
Faujasiopsis flexuosa ssp erecta,1
Flagellaria indica,46
Gaertnera psychotrioides/edentata,46
Gaertnera rotundifolia,1
Grangeria borbonica,46
Harungana madagascariensis,1
Helichrysum proteoides,46
Homalanthus populifolius,17
Labourdonnaisia callophylloides,1
Molinaea alternifolia,1
Molinaea macrantha,1
Myonima violacea var ovata,46
Ochna mauritiana,46
Olea lancea,1
Ossaea marginata,129
Phyllanthus phillyreifolius var telfairianus,1
Pittosporum senacia,129
Psathura terniflora,1
Psiadia terebinthina,17
Psidium cattleianum,46
Rubus alcefolius,1
Sideroxylon cinereum,17
Sideroxylon puberulum,46
Smilax anceps,1
Stillingia lineata ssp lineata,17
Syzygium commersonii,1
Syzygium coriaceum,1
Syzygium glomeratum,1
Syzygium petrinese,1
Tabernaemontana persicarifolia,1
Toddalia asiatica,46
Tristhema mauritiana,1
Trochetia blackburniana,1
Turraea rigida,1
Warneckea trinervis,1
Wikstroemia indica,1
Xylopia lamarckii ,129
Agathidinae sp,129
Ahasverus advena,98
Allograpta nasuta,93
Apis mellifera,93
Atherigona orientalis,98
Brachymyrmex sp ,93
Calopsilia florella,98
Campopleginae sp,98
Cerambycidae sp 1,98
Cerambycidae sp 2,98
Cerambycidae sp 3,98
Ceratitis roas,98
Chaetocnema sp,93
Cheloninae sp 1,129
Cheloninae sp 3,98
Chrysomya megacephala,93
Cixiidae sp 1,98
Cixiidae sp 2,98
Cotesia sp 1,98
Cratopus psittacus,98
Cryptocephalinae sp,98
Dasytinae sp,129
Dioxyna sororcula,98
Diptera sp 2,98
Diptera sp 3,98
Dysauxes florida,93
Episyrphus sp near circularis,93
Eristalinus flaveolus,93
Eumolpinae sp 2,98
Eumolpinae sp 3,98
Eurytonidae sp 1,129
Fannia pusio,93
Gelechioidea sp 1,98
Gelechioidea sp 2,98
Gelechioidea sp 3,98
Goniurellia or Dectodes sp,98
Graphomya maculata,98
Henotesia narcissus,98
Hippotion eson,98
Homoneura sp 1,98
Homoneura sp 2,98
Hydrotaea fuliginosa,98
Ischiodon aegyptius,93
Lecithoceridae sp 1,98
Leptotes pirithous ,93
Limnophora quaterna,98
Lygaeidae sp 2,98
Lygaeidae sp 3,98
Lygaeidae sp 5,98
Lygistorrhina sp,93
Macroglossum milvus,129
Mauritiborium undulatus,98
Melanagromyza sojae ,98
Melanostoma annulipes,98
Melanostoma bituberculatum,98
Miridae sp,98
Mordellidae sp 1,98
Mordellidae sp 2,98
Mordellidae sp 3,98
Musca confiscate,98
Musca domestica,93
Nacoleia sp 1,93
Nacoleia sp 2,98
Nitidulidae sp,129
Nyctemera insulare,98
Ophyra capensis,129
Orchisia costata,98
Ornidia obesa,93
Orthellia albigena,98
Pachycerina crinicornis,93
Palexorista sp,98
Panara naso,93
Paragus borbonicus,129
Pelecophora intemipta,129
Phalanta phalantha,129
Pheidole megacephala,129
Phelsuma cepediana,129
Phorinia sp,129
Polistes hebraeus,93
Psyllidae sp 2 ,98
Sapromyza sp near nudiuscula,93
Sarcophaga arno,93
Scatopsidae sp,98
Scirtidae sp 1,98
Scirtidae sp 2,98
Scolia carniflex,98
Scopariinae sp,98
Simulium (Byssodon) sp 2,98
Siphona sp ,98
Stomorhina lunata,93
Stomoxys calcitrans,98
Stomoxys niger,98
Syritta bulbus,98
Syritta nigrofemorata,93
Syritta sp near abyssinica,129
Technomyrmex albipes,93
Thelairodrino sp,98
Thysanoplusia orichalcea,98
Villa unifasciata,93
Zosterops mauritianus,129
