,Antidesma madagascariense,Aphloia theiformis,Badula insularis,Chassalia coriacea var coriacea,Gaertnera rotundifolia,Molinaea macrantha,Phyllanthus phillyreifolius var telfairianus,Turraea rigida
Cheloninae sp 1,0.0,0.0,0.0,0.0,0.0,0.0,0.014570048,0.0
Eristalinus flaveolus,0.0,0.328645636,0.0,0.0,0.0,0.0,0.0,0.0
Eurytonidae sp 1,0.0,0.0,0.0,0.0,0.0,0.0,0.005024155,0.0
Gelechioidea sp 2,0.0,0.061964573,0.0,0.0,0.0,0.0,0.0,0.0
Gelechioidea sp 3,0.0,0.061964573,0.0,0.0,0.0,0.0,0.0,0.0
Lygaeidae sp 3,0.0,0.037178744,0.0,0.0,0.0,0.0,0.0,0.0
Macroglossum milvus,0.0,0.04647343,0.0,0.0,0.0,0.0,0.0,0.0
Melanostoma annulipes,0.0,0.689338855,0.0,0.0,0.0,0.0,0.0,0.0
Melanostoma bituberculatum,0.0,0.162657005,0.0,0.0,0.0,0.0,0.0,0.0
Mordellidae sp 3,0.0,0.021449275,0.0,0.0,0.0,0.0,0.0,0.0
Musca domestica,0.0,0.767915238,0.0,0.0,0.0,0.0,0.011304348,0.0
Panara naso,0.0,0.213777778,0.0,0.050566013,0.003381643,0.0,0.0,0.0
Pheidole megacephala,0.0,0.0,0.0,0.0,0.0,0.0,0.024664031,0.0
Sapromyza sp near nudiuscula,0.0,0.079668737,0.0,0.0,0.0,0.0,0.0,0.0
Technomyrmex albipes,0.211014493,1.460018308,0.002318841,0.0,0.0,0.02890039,0.10691725,0.003188405
