,Badula platiphylla,Cordemoya integrifolia,Croton fothergillifolius,Croton grangeroides,Dodonaea viscosa ,Erythroxylum macrocarpum,Eugenia orbiculata,Euodia obtusifolia ssp gigas var gigas,Flagellaria indica,Harungana madagascariensis,Helichrysum proteoides,Homalanthus populifolius,Molinaea alternifolia,Ochna mauritiana,Olea lancea,Psathura terniflora,Psidium cattleianum,Smilax anceps,Stillingia lineata ssp lineata,Toddalia asiatica,Tristhema mauritiana,Wikstroemia indica
Agathidinae sp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01105314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahasverus advena,0.0,0.0,0.016425121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.096106281,0.0,0.0,0.0
Calopsilia florella,0.0,0.0,0.0,0.0,0.0,0.00489533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campopleginae sp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024196597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cerambycidae sp 2,0.0,0.0,0.006570048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cerambycidae sp 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039227053,0.0,0.0,0.0
Chaetocnema sp,0.009789932,0.01242236,0.448145742,0.163150765,0.218115944,0.153643436,0.0,0.000507246,0.018086957,0.01252174,0.225921325,0.479987817,0.183482126,0.807964715,0.366243574,0.0,1.887385783,0.0,4.381661857,0.050295652,0.0,0.222847021
Cheloninae sp 3,0.0,0.0,0.0,0.0,0.010838059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chrysomya megacephala,0.0,0.0,0.009468599,0.008253112,0.0,0.0,0.0,0.0,0.0,0.0,0.076424948,0.0,0.055265701,0.023188406,0.0,0.0,0.132028986,0.000298137,0.41188406,0.001422925,0.0,0.0
Cixiidae sp 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017246377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
