,Doratoxylon apetalum var diphyllum,Faujasiopsis flexuosa ssp erecta,Myonima violacea var ovata,Psiadia terebinthina,Syzygium coriaceum
Brachymyrmex sp,0.0,0.0,0.074275363,1.739867786,0.318681574
Cerambycidae sp 1,0.0,0.0,0.0,0.078903356,0.0
Ceratitis roas,0.0,0.0,0.0,0.161256039,0.0
Cryptocephalinae sp,0.0,0.0,0.023768116,0.0,0.0
Dioxyna sororcula,0.0,0.0,0.0,0.600626388,0.0
Dysauxes florida,0.0,0.019803312,0.474570049,1.389210302,0.0
Goniurellia or Dectodes sp,0.0,0.0,0.0,0.136334651,0.0
Lecithoceridae sp 1,0.0,0.0,0.0,0.161256039,0.0
Leptotes pirithous ,0.0,0.0,0.011884058,0.048376812,0.0
Lygaeidae sp 5,0.0,0.0,0.0,1.043556936,0.0
Mauritiborium undulatus,0.0,0.0,0.0,0.117486542,0.0
Miridae sp,0.0,0.0,0.0,0.015357718,0.0
Mordellidae sp 1,0.0,0.0,0.0,0.034554865,0.0
Orchisia costata,0.0,0.0,0.0,0.161256039,0.0
Ornidia obesa,0.0,0.000966184,0.0,0.024188406,0.0
Scolia carniflex,0.0,0.0,0.0,0.027643892,0.0
Stomorhina lunata,0.002898551,0.003768116,0.066550725,1.602343809,0.007961353
Stomoxys niger,0.0,0.0,0.0,0.449213251,0.0
Syritta bulbus,0.0,0.0,0.0,0.193507246,0.0
