,Aphloia theiformis,Claoxylon linostachys ssp brachyphyllum,Croton fothergillifolius,Dodonaea viscosa ,Doratoxylon apetalum var diphyllum,Dracaena reflexa var angustifolia,Embelia angustifolia,Erythroxylum macrocarpum,Homalanthus populifolius,Molinaea alternifolia,Psiadia terebinthina,Sideroxylon cinereum,Smilax anceps,Stillingia lineata ssp lineata,Syzygium glomeratum,Toddalia asiatica
Aphloia theiformis,0,1,15,9,1,9,3,18,10,12,18,19,1,15,1,12
Claoxylon linostachys ssp brachyphyllum,1,0,2,2,0,0,1,1,1,1,2,1,0,2,0,1
Croton fothergillifolius,15,2,0,10,1,8,2,15,11,11,20,15,1,13,0,11
Dodonaea viscosa ,9,2,10,0,2,5,3,11,11,7,13,9,0,9,1,8
Doratoxylon apetalum var diphyllum,1,0,1,2,0,2,2,2,2,2,2,2,0,2,1,1
Dracaena reflexa var angustifolia,9,0,8,5,2,0,2,11,7,8,10,12,1,8,1,7
Embelia angustifolia,3,1,2,3,2,2,0,3,3,3,3,4,0,5,1,1
Erythroxylum macrocarpum,18,1,15,11,2,11,3,0,12,12,21,16,0,16,1,9
Homalanthus populifolius,10,1,11,11,2,7,3,12,0,7,13,10,0,11,1,10
Molinaea alternifolia,12,1,11,7,2,8,3,12,7,0,13,12,1,15,1,8
Psiadia terebinthina,18,2,20,13,2,10,3,21,13,13,0,17,1,19,2,12
Sideroxylon cinereum,19,1,15,9,2,12,4,16,10,12,17,0,1,15,1,11
Smilax anceps,1,0,1,0,0,1,0,0,0,1,1,1,0,1,0,1
Stillingia lineata ssp lineata,15,2,13,9,2,8,5,16,11,15,19,15,1,0,2,10
Syzygium glomeratum,1,0,0,1,1,1,1,1,1,1,2,1,0,2,0,1
Toddalia asiatica,12,1,11,8,1,7,1,9,10,8,12,11,1,10,1,0
