,Antirhea borbonica,Bertiera zaluzania,Calophyllum eputamen var eputamen,Casearia coriacea,Chassalia coriacea var coriacea,Coffea mauritiana,Croton grangeroides,Diospyros revaughanii,Faujasiopsis flexuosa ssp erecta,Gaertnera psychotrioides/edentata,Gaertnera rotundifolia,Grangeria borbonica,Helichrysum proteoides,Labourdonnaisia callophylloides,Myonima violacea var ovata,Ochna mauritiana,Olea lancea,Psidium cattleianum,Rubus alcefolius,Sideroxylon puberulum,Syzygium petrinense,Trochetia blackburniana,Warneckea trinervis
Antirhea borbonica,0,5,3,3,4,1,4,1,5,6,0,7,5,3,4,7,5,7,1,4,2,1,2
Bertiera zaluzania,5,0,2,1,5,0,4,1,4,5,0,6,7,2,7,8,3,6,3,6,3,1,1
Calophyllum eputamen var eputamen,3,2,0,1,2,0,3,1,3,3,0,3,3,2,2,3,3,3,1,2,3,1,1
Casearia coriacea,3,1,1,0,1,0,1,2,2,2,0,3,2,1,1,1,2,3,1,1,2,1,1
Chassalia coriacea var coriacea,4,5,2,1,0,0,2,1,3,5,1,3,5,2,7,6,3,5,2,5,2,1,1
Coffea mauritiana,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1
Croton grangeroides,4,4,3,1,2,1,0,1,5,7,0,7,7,3,4,7,3,4,2,7,4,2,2
Diospyros revaughanii,1,1,1,2,1,0,1,0,2,1,0,2,2,1,1,1,1,1,1,1,2,1,1
Faujasiopsis flexuosa ssp erecta,5,4,3,2,3,1,5,2,0,4,0,6,7,3,5,5,3,4,1,6,4,1,2
Gaertnera psychotrioides/edentata,6,5,3,2,5,1,7,1,4,0,1,8,7,2,6,9,5,7,2,8,3,1,2
Gaertnera rotundifolia,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0
Grangeria borbonica,7,6,3,3,3,1,7,2,6,8,0,0,7,2,5,7,4,6,2,6,4,1,2
Helichrysum proteoides,5,7,3,2,5,0,7,2,7,7,1,7,0,3,6,10,3,6,2,8,6,2,1
Labourdonnaisia callophylloides,3,2,2,1,2,0,3,1,3,2,0,2,3,0,2,3,2,3,2,2,1,1,1
Myonima violacea var ovata,4,7,2,1,7,0,4,1,5,6,1,5,6,2,0,6,3,5,3,9,2,1,1
Ochna mauritiana,7,8,3,1,6,1,7,1,5,9,1,7,10,3,6,0,4,8,2,8,4,2,2
Olea lancea,5,3,3,2,3,0,3,1,3,5,0,4,3,2,3,4,0,5,1,2,2,1,1
Psidium cattleianum,7,6,3,3,5,0,4,1,4,7,0,6,6,3,5,8,5,0,2,5,2,1,1
Rubus alcefolius,1,3,1,1,2,0,2,1,1,2,0,2,2,2,3,2,1,2,0,2,1,1,1
Sideroxylon puberulum,4,6,2,1,5,1,7,1,6,8,1,6,8,2,9,8,2,5,2,0,3,1,2
Syzygium petrinense,2,3,3,2,2,0,4,2,4,3,0,4,6,1,2,4,2,2,1,3,0,2,1
Trochetia blackburniana,1,1,1,1,1,0,2,1,1,1,0,1,2,1,1,2,1,1,1,1,2,0,1
Warneckea trinervis,2,1,1,1,1,1,2,1,2,2,0,2,1,1,1,2,1,1,1,2,1,1,0
