,Antidesma madagascariense,Badula insularis,Badula platiphylla,Coffea macrocarpa,Cordemoya integrifolia,Eugenia orbiculata,Euodia obtusifolia ssp gigas var gigas,Flagellaria indica,Harungana madagascariensis,Molinaea macrantha,Phyllanthus phillyreifolius var telfairianus,Psathura terniflora,Syzygium commersonii,Syzygium coriaceum,Tabernaemontana persicarifolia,Tristhema mauritiana,Turraea rigida,Wikstroemia indica
Antidesma madagascariense,0,2,2,2,2,1,1,1,2,1,3,2,1,3,2,1,1,1
Badula insularis,2,0,1,2,2,0,1,1,2,1,2,0,1,2,2,0,1,1
Badula platiphylla,2,1,0,2,1,1,1,1,2,1,1,1,0,4,1,1,0,1
Coffea macrocarpa,2,2,2,0,2,0,1,1,3,2,2,0,1,4,3,0,1,1
Cordemoya integrifolia,2,2,1,2,0,0,1,1,2,1,2,0,1,2,2,0,1,1
Eugenia orbiculata,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
Euodia obtusifolia ssp gigas var gigas,1,1,1,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1
Flagellaria indica,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1
Harungana madagascariensis,2,2,2,3,2,0,1,1,0,2,2,0,1,3,2,0,1,1
Molinaea macrantha,1,1,1,2,1,0,0,0,2,0,1,0,1,2,1,0,1,0
Phyllanthus phillyreifolius var telfairianus,3,2,1,2,2,0,1,1,2,1,0,1,1,4,2,0,1,1
Psathura terniflora,2,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
Syzygium commersonii,1,1,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,0
Syzygium coriaceum,3,2,4,4,2,1,1,1,3,2,4,1,1,0,3,1,1,1
Tabernaemontana persicarifolia,2,2,1,3,2,0,1,1,2,1,2,0,1,3,0,0,1,1
Tristhema mauritiana,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
Turraea rigida,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0
Wikstroemia indica,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,0,0,0
