,Cerambycidae sp 3,Cheloninae sp 1,Cratopus psittacus,Dasytinae sp,Eurytonidae sp 1,Fannia pusio,Henotesia narcissus,Homoneura sp 2,Limnophora quaterna,Melanagromyza sojae,Mordellidae sp 2,Musca confiscate,Ophyra capensis,Orthellia albigena,Paragus borbonicus,Pelecophora intemipta,Pheidole megacephala,Phelsuma cepediana,Phorinia sp,Sapromyza sp near nudiuscula,Sarcophaga arno,Simulium (Byssodon) sp 2,Syritta sp near abyssinica,Zosterops mauritianus
Cerambycidae sp 3,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0
Cheloninae sp 1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0
Cratopus psittacus,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0
Dasytinae sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Eurytonidae sp 1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0
Fannia pusio,1,0,1,0,0,0,1,1,1,1,1,1,5,3,3,2,0,1,2,3,4,1,1,1
Henotesia narcissus,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1,0,0,1
Homoneura sp 2,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,1,0,0,1
Limnophora quaterna,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,0,0,1
Melanagromyza sojae,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1
Mordellidae sp 2,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,1,1,0
Musca confiscate,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,1,0
Ophyra capensis,1,1,1,0,1,5,1,1,1,1,1,1,0,3,4,2,1,1,4,2,3,1,1,1
Orthellia albigena,1,0,1,0,0,3,1,1,1,1,1,1,3,0,3,1,0,0,2,2,2,1,1,1
Paragus borbonicus,1,1,1,1,1,3,1,1,1,1,1,1,4,3,0,2,1,0,3,3,3,1,3,1
Pelecophora intemipta,1,0,1,0,0,2,0,0,0,0,1,1,2,1,2,0,0,0,1,0,1,1,1,0
Pheidole megacephala,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
Phelsuma cepediana,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
Phorinia sp,1,1,1,0,1,2,1,1,1,1,1,1,4,2,3,1,1,0,0,1,2,1,1,1
Sapromyza sp near nudiuscula,0,0,0,0,0,3,1,1,1,1,0,0,2,2,3,0,0,0,1,0,2,0,1,1
Sarcophaga arno,1,0,1,0,0,4,1,1,1,1,1,1,3,2,3,1,0,1,2,2,0,1,2,1
Simulium (Byssodon) sp 2,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0
Syritta sp near abyssinica,1,0,1,1,0,1,0,0,0,0,1,1,1,1,3,1,0,0,1,1,2,1,0,0
Zosterops mauritianus,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0
