,Ahasverus advena,Cerambycidae sp 2,Eumolpinae sp 2,Gelechioidea sp 1,Gelechioidea sp 2,Nacoleia sp 2,Scirtidae sp 1,Scirtidae sp 2,Scopariinae sp,Thelairodrino sp
Ahasverus advena,0,1,1,1,2,3,1,1,1,1
Cerambycidae sp 2,1,0,1,1,1,1,1,1,1,1
Eumolpinae sp 2,1,1,0,1,1,1,1,1,1,1
Gelechioidea sp 1,1,1,1,0,1,1,1,1,1,1
Gelechioidea sp 2,2,1,1,1,0,3,1,1,2,1
Nacoleia sp 2,3,1,1,1,3,0,1,1,2,1
Scirtidae sp 1,1,1,1,1,1,1,0,1,1,1
Scirtidae sp 2,1,1,1,1,1,1,1,0,1,1
Scopariinae sp,1,1,1,1,2,2,1,1,0,1
Thelairodrino sp,1,1,1,1,1,1,1,1,1,0
