,Agathidinae sp,Allograpta nasuta,Apis mellifera,Atherigona orientalis,Brachymyrmex sp,Campopleginae sp,Chaetocnema sp,Chrysomya megacephala,Cryptocephalinae sp,Dysauxes florida,Eristalinus flaveolus,Eumolpinae sp 3,Hippotion eson,Ischiodon aegyptius,Lygaeidae sp 2,Musca domestica,Nacoleia sp 1,Nitidulidae sp,Nyctemera insulare,Ornidia obesa,Pachycerina crinicornis,Panara naso,Phalanta phalantha,Polistes hebraeus,Siphona sp,Stomorhina lunata,Syritta nigrofemorata,Technomyrmex albipes,Thysanoplusia orichalcea,Villa unifasciata
Agathidinae sp,0,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0
Allograpta nasuta,1,0,16,0,6,1,15,12,1,11,9,2,1,7,0,12,12,0,1,3,15,8,0,10,1,19,7,12,1,10
Apis mellifera,1,16,0,1,4,1,17,13,1,14,9,2,1,6,1,14,13,0,1,8,16,10,0,12,1,22,7,9,1,9
Atherigona orientalis,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0
Brachymyrmex sp,0,6,4,1,0,0,8,6,1,5,3,0,0,1,0,5,6,1,0,1,6,4,0,4,0,8,2,9,0,5
Campopleginae sp,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0
Chaetocnema sp,1,15,17,0,8,1,0,14,0,13,9,2,1,5,1,16,16,1,0,5,16,7,0,8,0,22,7,18,1,13
Chrysomya megacephala,1,12,13,1,6,1,14,0,0,11,8,1,1,5,1,13,12,0,0,3,11,7,0,9,0,16,6,8,1,7
Cryptocephalinae sp,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0
Dysauxes florida,1,11,14,1,5,0,13,11,1,0,6,2,0,4,1,12,10,0,1,5,13,7,0,8,1,15,5,11,0,6
Eristalinus flaveolus,1,9,9,0,3,0,9,8,0,6,0,2,0,5,0,7,7,0,0,3,7,2,0,4,0,10,3,6,0,7
Eumolpinae sp 3,0,2,2,0,0,0,2,1,0,2,2,0,0,1,0,2,2,0,0,2,1,1,0,0,0,2,0,2,0,1
Hippotion eson,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1
Ischiodon aegyptius,1,7,6,0,1,1,5,5,0,4,5,1,0,0,0,5,4,0,1,1,6,2,0,4,1,7,4,4,0,3
Lygaeidae sp 2,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0
Musca domestica,1,12,14,1,5,1,16,13,0,12,7,2,1,5,1,0,12,0,1,5,12,8,0,8,1,19,7,12,1,8
Nacoleia sp 1,0,12,13,1,6,1,16,12,0,10,7,2,1,4,0,12,0,0,0,4,12,6,0,5,0,16,5,10,1,8
Nitidulidae sp,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Nyctemera insulare,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0
Ornidia obesa,0,3,8,0,1,0,5,3,0,5,3,2,0,1,1,5,4,0,0,0,4,3,0,1,0,6,2,3,0,3
Pachycerina crinicornis,0,15,16,1,6,1,16,11,1,13,7,1,0,6,1,12,12,0,1,4,0,9,0,10,1,19,7,11,0,9
Panara naso,0,8,10,1,4,1,7,7,1,7,2,1,1,2,1,8,6,0,0,3,9,0,0,7,0,10,4,5,1,5
Phalanta phalantha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Polistes hebraeus,1,10,12,1,4,1,8,9,1,8,4,0,1,4,1,8,5,0,1,1,10,7,0,0,1,12,4,6,1,3
Siphona sp,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,1,0,0
Stomorhina lunata,1,19,22,1,8,1,22,16,1,15,10,2,1,7,1,19,16,1,1,6,19,10,0,12,1,0,8,13,1,12
Syritta nigrofemorata,1,7,7,0,2,1,7,6,0,5,3,0,0,4,1,7,5,0,1,2,7,4,0,4,1,8,0,5,0,4
Technomyrmex albipes,1,12,9,0,9,0,18,8,1,11,6,2,0,4,0,12,10,0,1,3,11,5,0,6,1,13,5,0,0,8
Thysanoplusia orichalcea,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1
Villa unifasciata,0,10,9,0,5,0,13,7,0,6,7,1,1,3,0,8,8,1,0,3,9,5,1,3,0,12,4,8,1,0
