Species names,Antidesma madagascariense,Antirhea borbonica,Aphloia theiformis,Ardisia crenate,Badula insularis,Badula platiphylla,Bertiera zaluzania,Calophyllum eputamen var eputamen,Casearia coriacea,Chassalia coriacea var coriacea,Claoxylon linostachys ssp brachyphyllum,Clidemia hirta,Coffea macrocarpa,Coffea mauritiana,Cordemoya integrifolia,Croton fothergillifolius,Croton grangeroides,Diospyros revaughanii,Dodonaea viscosa ,Doratoxylon apetalum var diphyllum,Dracaena reflexa var angustifolia,Embelia angustifolia,Erythrospermum monticolum var monticolum,Erythroxylum macrocarpum,Eugenia orbiculata,Euodia obtusifolia ssp gigas var gigas,Faujasiopsis flexuosa ssp erecta,Flagellaria indica,Gaertnera psychotrioides/edentata,Gaertnera rotundifolia,Grangeria borbonica,Harungana madagascariensis,Helichrysum proteoides,Homalanthus populifolius,Labourdonnaisia callophylloides,Molinaea alternifolia,Molinaea macrantha,Myonima violacea var ovata,Ochna mauritiana,Olea lancea,Ossaea marginata,Phyllanthus phillyreifolius var telfairianus,Pittosporum senacia,Psathura terniflora,Psiadia terebinthina,Psidium cattleianum,Rubus alcefolius,Sideroxylon cinereum,Sideroxylon puberulum,Smilax anceps,Stillingia lineata ssp lineata,Syzygium commersonii,Syzygium coriaceum,Syzygium glomeratum,Syzygium petrinese,Tabernaemontana persicarifolia,Toddalia asiatica,Tristhema mauritiana,Trochetia blackburniana,Turraea rigida,Warneckea trinervis,Wikstroemia indica,Xylopia lamarckii 
Allograpta nasuta Marquart,0,0.695630826,0.011153623,0,0,0,0.005769231,0,0,0.013664596,0,0,0,0,0,0.008048309,0,0,0,0,0.000869565,0,0,0.014126524,0,0,0,0,0.04515942,0,0.001545894,0,0,0.025555995,0,0.023211594,0.000703934,0.013204509,0.041739131,0.036376812,0,0,0,0,0.134380032,0.27726087,0,0.042543478,0,0,0.355004833,0,0,0,0,0,0.000711462,0,0,0,0,0,0
Atherigona orientalis Schiner ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041325052,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ceratitis roas Karsch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161256039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chrysomya megacephala Fabricius,0,0,0.061954539,0,0,0,0,0,0,0,0,0,0,0,0,0.009468599,0.008253112,0,0,0,0.000144928,0,0,0,0,0,0,0,0.077246377,0,0.000185507,0,0.076424948,0,0,0.055265701,0,0,0.023188406,0,0,0,0,0,0.075252818,0.132028986,0,0.231355487,0.141021739,0.000298137,0.41188406,0,0.013268921,0,0,0,0.001422925,0,0,0,0,0,0
Dioxyna sororcula Wiedemann,0,0,0,0,0,0,0,0,0,0,0.000355556,0,0,0,0,0.017246377,0,0,0.033236715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008623189,0,0,0,0,0,0,0,0,0,0,0.600626388,0.052811594,0,0,0,0,0,0,0,0,0,0,0.002608696,0,0,0,0,0,0
Diptera sp 1,0,0,0,0,0,0,0,0,0,0,0.003333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diptera sp 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000830918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Episyrphus sp near circularis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012463768,0.00173913,0.000144928,0.000231884,0,0.013636991,0,0,0,0,0.04515942,0,0,0,0,0.012072464,0,0.01657971,0,0,0,0,0,0,0,0,0.010750403,0,0,0.018908213,0,0,0.02942029,0,0,0.001971014,0,0,0,0,0,0,0,0,0
Eristalinus flaveolus Bigot,0,0.105764895,0.328645636,0,0,0,0,0,0.001342169,0,0,0,0,0,0,0,0,0,0,0,9.66E-05,0,0,0.00489533,0,0,0,0,0,0,0.001545894,0,0,0,0,0.01657971,0,0,0,0,0,0,0,0,0,0.251483782,0,0.033089372,0,0,0.047072464,0,0.017060041,0,0,0,0,0,0,0,0,0,0
Fannia pusio Wiedemann,0,0,0.055768116,0,0,0,0,0,0,0,0,0,0,0,0,0.006570048,0,0,0.000830918,0,0,0,0,0,0,0,0.006956522,0,0,0,0,0,0.018532609,0.15532445,0,0.092846377,0,0,0,0,0,0,0,0,0,0,0,1.721911984,0,0,0.161811595,0,0,0,0.000952381,0,0.001878261,0,0,0,0,0,0
