Species names,Antidesma madagascariense,Antirhea borbonica,Aphloia theiformis,Ardisia crenate,Badula insularis,Badula platiphylla,Bertiera zaluzania,Calophyllum eputamen var eputamen,Casearia coriacea,Chassalia coriacea var coriacea,Claoxylon linostachys ssp brachyphyllum,Clidemia hirta,Coffea macrocarpa,Coffea mauritiana,Cordemoya integrifolia,Croton fothergillifolius,Croton grangeroides,Diospyros revaughanii,Dodonaea viscosa ,Doratoxylon apetalum var diphyllum,Dracaena reflexa var angustifolia,Embelia angustifolia,Erythrospermum monticolum var monticolum,Erythroxylum macrocarpum,Eugenia orbiculata,Euodia obtusifolia ssp gigas var gigas,Faujasiopsis flexuosa ssp erecta,Flagellaria indica,Gaertnera psychotrioides/edentata,Gaertnera rotundifolia,Grangeria borbonica,Harungana madagascariensis,Helichrysum proteoides,Homalanthus populifolius,Labourdonnaisia callophylloides,Molinaea alternifolia,Molinaea macrantha,Myonima violacea var ovata,Ochna mauritiana,Olea lancea,Ossaea marginata,Phyllanthus phillyreifolius var telfairianus,Pittosporum senacia,Psathura terniflora,Psiadia terebinthina,Psidium cattleianum,Rubus alcefolius,Sideroxylon cinereum,Sideroxylon puberulum,Smilax anceps,Stillingia lineata ssp lineata,Syzygium commersonii,Syzygium coriaceum,Syzygium glomeratum,Syzygium petrinese,Tabernaemontana persicarifolia,Toddalia asiatica,Tristhema mauritiana,Trochetia blackburniana,Turraea rigida,Warneckea trinervis,Wikstroemia indica,Xylopia lamarckii 
Agathidinae sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01105314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apis mellifera Linnaeus,0,0.076150725,1.390866346,0,0,0,0.084591974,0.028847482,0.00352577,0.003400966,0,0,0,0,0,0.004927536,0.000745342,0.002737519,0,0,0.001449276,0,0,0.004405797,0,0,0.004830918,0,0.187389987,0,0.02493171,0,0.037065217,0,0.547111695,0.207088475,0,0.216199825,0.24383833,0.005389157,0,0,0,0,0.488375431,0.475304348,0.009043479,5.028188721,4.44209869,0,0,0,0,0,0.010084034,0,0,0,0.003623188,0,0.00691539,0,0
Brachymyrmex sp ,0,0,0.769875777,0,0,0.002434783,0,0,0,0,0,0,0.003826087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004173913,0,0,0,0,0.007039337,0.074275363,0,0,0,0,0,0,1.739867786,0,0,0,0.180797102,0,0.52956522,0,0.318681574,0.001971014,0,0,0.000869565,0,0,0,0,0,0
Campopleginae sp1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024196597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cheloninae sp1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014570048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cheloninae sp3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010838059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cotesia sp1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008623189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eurytonidae sp 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005024155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pheidole megacephala Fabricius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024664031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polistes hebraeus Fabricius,0,0,0.057627053,0,0,0,0.001043478,0,0,0.008175399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04515942,0,0,0,0.055597826,0,0,0.11586756,0,0.047536232,0.076687371,0,0,0,0,0,0,0.058679549,0.004057971,0.037816425,0.04821256,0,0,0,0,0,0,0,0.001956522,0,0,0,0,0,0
Scolia carniflex Coquillett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027643892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technomyrmex albipes Smith,0.211014493,0,1.460018308,0,0.002318841,0,0.046083612,0,0,0,0,0,0.002943144,0,0.004347826,0.172698412,0,0,0.001519972,0,0,0,0,0.022028986,0,0,0,0,0,0,0.001236715,0.007826087,0,0.091980677,0,0.02763285,0.02890039,0.19278583,0,0,0,0.10691725,0,0,0.028456948,0,0.010434783,0,0,0,1.188579716,0.00084472,0.038214493,0,0,0.003333334,0.016304348,0,0,0.003188405,0,0,0
