,Agauria salicifolia,Antidesma madagascariense,Antirhea borbonica,Aphloia theiformis,Badula insularis,Chassalia coriacea var coriacea,Claoxylon linostachys ssp brachyphyllum,Croton fothergillifolius,Dodonaea viscosa ,Dracaena reflexa var angustifolia,Embelia angustifolia,Erythrospermum monticolum var monticolum,Erythroxylum macrocarpum,Euodia obtusifolia ssp gigas var brachypoda,Faujasiopsis flexuosa ssp erecta,Gaertnera rotundifolia,Geniostoma borbonicum,Memecylon ovatifolium,Molinaea alternifolia,Ocotea laevigata,Pleurostylia leucocarpa ,Polyscias mauritiana,Psiadia terebinthina,Sideroxylon cinereum,Sideroxylon puberulum,Stillingia lineata ssp lineata,Syzygium coriaceum,Syzygium glomeratum,Syzygium venosum,Tambourissa peltata,Toddalia asiatica,Xyris sp
Agauria salicifolia,0,2,3,6,2,2,2,6,1,3,2,3,4,0,2,1,6,3,6,1,2,2,5,4,5,5,5,1,2,0,3,0
Antidesma madagascariense,2,0,3,7,1,3,4,4,1,5,2,4,6,0,3,0,4,1,5,1,1,2,8,4,6,6,3,1,1,0,7,0
Antirhea borbonica,3,3,0,6,0,2,3,7,1,2,1,2,6,1,2,1,4,2,7,1,0,1,7,3,5,4,4,0,0,1,6,0
Aphloia theiformis,6,7,6,0,7,7,10,20,2,10,5,5,22,4,2,3,15,8,22,4,4,3,23,15,14,15,13,9,5,1,18,1
Badula insularis,2,1,0,7,0,2,1,6,0,4,2,1,6,1,1,1,5,3,7,3,3,2,6,5,6,7,6,6,3,0,5,0
Chassalia coriacea var coriacea,2,3,2,7,2,0,4,6,1,7,2,4,7,0,2,1,5,3,4,2,2,2,7,3,5,5,3,2,2,0,6,0
Claoxylon linostachys ssp brachyphyllum,2,4,3,10,1,4,0,12,1,6,2,3,11,1,1,1,7,3,7,2,3,2,13,8,6,10,8,1,2,0,12,0
Croton fothergillifolius,6,4,7,20,6,6,12,0,2,9,4,5,18,4,2,3,12,8,20,4,4,3,20,11,13,15,15,7,4,1,16,1
Dodonaea viscosa ,1,1,1,2,0,1,1,2,0,1,2,2,1,1,1,0,1,1,2,1,1,1,2,1,1,2,2,1,0,0,1,1
Dracaena reflexa var angustifolia,3,5,2,10,4,7,6,9,1,0,2,4,9,0,2,2,5,4,6,2,2,2,8,6,10,7,5,3,3,0,6,0
Embelia angustifolia,2,2,1,5,2,2,2,4,2,2,0,3,4,1,2,0,2,2,5,1,2,2,5,2,2,5,5,3,2,0,4,1
Erythrospermum monticolum var monticolum,3,4,2,5,1,4,3,5,2,4,3,0,4,1,3,2,3,3,4,1,3,3,7,2,5,5,4,2,1,0,4,1
Erythroxylum macrocarpum,4,6,6,22,6,7,11,18,1,9,4,4,0,3,2,1,11,6,16,4,3,3,19,12,12,15,10,6,5,1,17,0
Euodia obtusifolia ssp gigas var brachypoda,0,0,1,4,1,0,1,4,1,0,1,1,3,0,0,0,2,3,4,1,1,1,3,2,1,2,2,3,0,0,3,1
Faujasiopsis flexuosa ssp erecta,2,3,2,2,1,2,1,2,1,2,2,3,2,0,0,0,2,1,2,1,1,2,3,2,3,2,2,1,1,0,3,0
Gaertnera rotundifolia,1,0,1,3,1,1,1,3,0,2,0,2,1,0,0,0,2,2,2,0,0,0,2,1,4,1,2,1,0,0,1,0
Geniostoma borbonicum,6,4,4,15,5,5,7,12,1,5,2,3,11,2,2,2,0,6,13,5,2,3,14,13,12,12,8,4,3,1,12,0
Memecylon ovatifolium,3,1,2,8,3,3,3,8,1,4,2,3,6,3,1,2,6,0,7,1,3,1,7,4,5,5,4,4,3,0,5,1
Molinaea alternifolia,6,5,7,22,7,4,7,20,2,6,5,4,16,4,2,2,13,7,0,4,4,4,20,12,14,14,14,8,4,2,16,1
Ocotea laevigata,1,1,1,4,3,2,2,4,1,2,1,1,4,1,1,0,5,1,4,0,1,2,5,4,4,5,4,3,1,0,4,0
Pleurostylia leucocarpa ,2,1,0,4,3,2,3,4,1,2,2,3,3,1,1,0,2,3,4,1,0,1,5,4,3,6,4,3,2,0,2,1
Polyscias mauritiana,2,2,1,3,2,2,2,3,1,2,2,3,3,1,2,0,3,1,4,2,1,0,5,3,4,3,3,2,1,0,3,0
Psiadia terebinthina,5,8,7,23,6,7,13,20,2,8,5,7,19,3,3,2,14,7,20,5,5,5,0,14,17,17,12,6,5,0,19,1
Sideroxylon cinereum,4,4,3,15,5,3,8,11,1,6,2,2,12,2,2,1,13,4,12,4,4,3,14,0,12,11,6,4,4,1,9,0
Sideroxylon puberulum,5,6,5,14,6,5,6,13,1,10,2,5,12,1,3,4,12,5,14,4,3,4,17,12,0,12,8,5,4,0,12,0
Stillingia lineata ssp lineata,5,6,4,15,7,5,10,15,2,7,5,5,15,2,2,1,12,5,14,5,6,3,17,11,12,0,13,6,4,1,14,1
