,Badula platiphylla,Bakerella hoyifolia ssp bojeri,Bertiera zaluzania,Calophyllum eputamen var eputamen,Casearia coriacea,Chassalia petrinensis,Coffea macrocarpa,Coffea mauritiana,Cordemoya integrifolia,Diospyros revaughanii,Doratoxylon apetalum var apetalum,Eugenia orbiculata,Euodia chapelieri var chapelieri,Euodia obtusifolia ssp gigas var gigas,Flagellaria indica,Gaertnera petrinensis,Gaertnera psychotrioides/edentata,Grangeria borbonica,Helichrysum proteoides,Labourdonnaisia callophylloides,Mimusops erythroxylon,Monimiastrum globosum,Ochna mauritiana,Olea lancea,Pandanus barklyi var barklyi,Pandanus rigidifolius,Pandanus wiehii,Phyllanthus phillyreifolius var telfairianus,Pittosporum senacia,Pyrostria fasciculata,Roussea simplex ,Smilax anceps,Syzygium commersonii,Syzygium mauritianum,Syzygium petrinense,Tabernaemontana persicarifolia,Tristhema mauritiana,Trochetia blackburniana,Turraea rigida,Warneckea trinervis,Xylopia lamarckii
Badula platiphylla,0,1,2,2,2,0,2,3,1,3,2,1,1,1,2,2,1,2,1,1,2,2,1,2,1,1,0,1,2,0,2,1,1,0,1,1,1,0,1,1,1
Bakerella hoyifolia ssp bojeri,1,0,3,3,1,0,3,2,2,2,1,2,3,2,2,2,3,3,1,2,3,2,1,3,1,1,0,1,3,1,2,1,1,1,2,1,1,0,2,3,1
Bertiera zaluzania,2,3,0,6,1,0,6,6,3,4,1,2,4,3,5,2,3,6,2,5,3,4,2,3,5,3,2,1,5,1,7,1,2,2,4,1,1,1,3,6,1
Calophyllum eputamen var eputamen,2,3,6,0,1,0,5,5,3,3,1,3,4,3,4,3,5,5,2,4,5,5,2,4,3,2,1,1,7,2,3,1,1,1,3,1,1,0,3,5,1
Casearia coriacea,2,1,1,1,0,0,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,2,0,2,1,1,0,1,1,1,0,1,1,1
Chassalia petrinensis,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0
Coffea macrocarpa,2,3,6,5,1,1,0,6,3,4,1,2,5,3,4,3,5,6,3,2,4,4,1,4,2,2,1,2,6,2,4,2,1,1,2,2,1,0,2,6,1
Coffea mauritiana,3,2,6,5,2,1,6,0,4,5,3,2,3,3,4,4,4,5,5,2,4,5,1,3,3,2,1,1,7,2,6,3,1,1,2,2,1,0,2,4,1
Cordemoya integrifolia,1,2,3,3,1,0,3,4,0,2,1,2,3,3,3,2,2,3,3,2,3,3,1,3,1,1,0,1,4,1,3,1,1,1,2,1,1,0,2,3,1
Diospyros revaughanii,3,2,4,3,2,1,4,5,2,0,3,2,2,2,3,3,3,5,2,3,3,3,1,2,3,3,2,1,4,2,4,3,2,2,3,3,1,1,2,2,1
Doratoxylon apetalum var apetalum,2,1,1,1,2,0,1,3,1,3,0,1,1,1,1,1,1,2,2,1,1,1,1,1,0,0,0,1,2,0,3,1,1,0,1,1,1,0,1,1,1
Eugenia orbiculata,1,2,2,3,1,0,2,2,2,2,1,0,3,3,3,3,3,2,1,3,2,3,2,3,1,1,0,1,3,2,2,1,1,1,2,1,1,0,3,3,1
Euodia chapelieri var chapelieri,1,3,4,4,1,0,5,3,3,2,1,3,0,5,4,3,4,4,2,3,3,3,2,4,1,1,0,2,6,2,3,2,1,1,3,1,1,0,3,5,1
Euodia obtusifolia ssp gigas var gigas,1,2,3,3,1,0,3,3,3,2,1,3,5,0,4,3,3,3,2,3,2,3,2,3,1,1,0,2,6,2,3,2,1,1,3,1,1,0,3,4,1
Flagellaria indica,2,2,5,4,1,0,4,4,3,3,1,3,4,4,0,3,3,4,2,3,2,4,3,2,3,2,0,1,4,2,3,1,1,1,2,1,1,0,3,5,1
Gaertnera petrinensis,2,2,2,3,1,1,3,4,2,3,1,3,3,3,3,0,5,3,1,3,3,4,3,2,1,1,1,1,5,4,2,2,1,1,2,2,1,0,3,3,1
Gaertnera psychotrioides/edentata,1,3,3,5,1,1,5,4,2,3,1,3,4,3,3,5,0,5,1,3,5,4,3,3,1,1,1,1,7,5,4,2,1,1,2,2,1,0,3,5,1
Grangeria borbonica,2,3,6,5,1,1,6,5,3,5,2,2,4,3,4,3,5,0,2,3,4,3,1,3,2,2,2,1,5,2,4,2,1,1,3,2,1,0,2,4,1
Helichrysum proteoides,1,1,2,2,1,0,3,5,3,2,2,1,2,2,2,1,1,2,0,1,2,2,0,3,1,1,0,1,4,1,4,2,0,1,1,0,0,0,1,2,0
Labourdonnaisia callophylloides,1,2,5,4,1,0,2,2,2,3,1,3,3,3,3,3,3,3,1,0,2,3,2,2,2,2,2,1,3,2,5,1,2,2,4,1,1,1,4,3,1
Mimusops erythroxylon,2,3,3,5,1,1,4,4,3,3,1,2,3,2,2,3,5,4,2,2,0,3,1,5,1,1,1,1,5,2,3,2,1,1,2,2,1,0,2,3,1
Monimiastrum globosum,2,2,4,5,1,0,4,5,3,3,1,3,3,3,4,4,4,3,2,3,3,0,3,3,2,2,0,1,5,3,3,1,1,1,2,1,1,0,3,4,1
Ochna mauritiana,1,1,2,2,1,0,1,1,1,1,1,2,2,2,3,3,3,1,0,2,1,3,0,1,1,0,0,1,3,2,1,0,1,0,1,1,1,0,2,3,1
Olea lancea,2,3,3,4,1,0,4,3,3,2,1,3,4,3,2,2,3,3,3,2,5,3,1,0,1,1,0,4,5,1,2,2,1,1,3,1,1,0,2,3,1
Pandanus barklyi var barklyi,1,1,5,3,0,0,2,3,1,3,0,1,1,1,3,1,1,2,1,2,1,2,1,1,0,3,1,0,2,1,2,1,1,2,2,0,0,1,1,2,0
Pandanus rigidifolius,1,1,3,2,0,0,2,2,1,3,0,1,1,1,2,1,1,2,1,2,1,2,0,1,3,0,1,0,1,1,2,1,1,2,2,0,0,1,1,1,0
Pandanus wiehii,0,0,2,1,0,1,1,1,0,2,0,0,0,0,0,1,1,2,0,2,1,0,0,0,1,1,0,0,1,1,2,1,1,1,2,1,0,1,0,0,0
Phyllanthus phillyreifolius var telfairianus,1,1,1,1,1,0,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,4,0,0,0,0,2,0,1,1,1,0,2,1,1,0,1,1,1
Pittosporum senacia,2,3,5,7,2,1,6,7,4,4,2,3,6,6,4,5,7,5,4,3,5,5,3,5,2,1,1,2,0,4,4,4,1,1,3,2,1,0,3,6,1
Pyrostria fasciculata,0,1,1,2,0,1,2,2,1,2,0,2,2,2,2,4,5,2,1,2,2,3,2,1,1,1,1,0,4,0,2,2,0,1,1,1,0,0,2,2,0
Roussea simplex ,2,2,7,3,2,0,4,6,3,4,3,2,3,3,3,2,4,4,4,5,3,3,1,2,2,2,2,1,4,2,0,2,2,2,4,1,1,1,3,4,1
Smilax anceps,1,1,1,1,1,1,2,3,1,3,1,1,2,2,1,2,2,2,2,1,2,1,0,2,1,1,1,1,4,2,2,0,0,1,2,1,0,0,1,1,0
Syzygium commersonii,1,1,2,1,1,0,1,1,1,2,1,1,1,1,1,1,1,1,0,2,1,1,1,1,1,1,1,1,1,0,2,0,0,1,2,1,1,1,1,1,1
Syzygium mauritianum,0,1,2,1,0,0,1,1,1,2,0,1,1,1,1,1,1,1,1,2,1,1,0,1,2,2,1,0,1,1,2,1,1,0,2,0,0,1,1,1,0
Syzygium petrinense,1,2,4,3,1,0,2,2,2,3,1,2,3,3,2,2,2,3,1,4,2,2,1,3,2,2,2,2,3,1,4,2,2,2,0,1,1,1,2,2,1
Tabernaemontana persicarifolia,1,1,1,1,1,1,2,2,1,3,1,1,1,1,1,2,2,2,0,1,2,1,1,1,0,0,1,1,2,1,1,1,1,0,1,0,1,0,1,1,1
Tristhema mauritiana,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,1,1,1
Trochetia blackburniana,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0
Turraea rigida,1,2,3,3,1,0,2,2,2,2,1,3,3,3,3,3,3,2,1,4,2,3,2,2,1,1,0,1,3,2,3,1,1,1,2,1,1,0,0,3,1
Warneckea trinervis,1,3,6,5,1,0,6,4,3,2,1,3,5,4,5,3,5,4,2,3,3,4,3,3,2,1,0,1,6,2,4,1,1,1,2,1,1,0,3,0,1
Xylopia lamarckii,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,1,0,1,0,1,1,1,0,1,1,0
