,Acalyptrate sp,Calcidoidae sp 1,Diptera sp 1,Dolichopodidae sp,Graphomya maculata,Homoneura sp 2,Hyadina sp,Hyperaspis hottentota,Lauxania sp,Melanagromyza sojae,Ophyra capensis,Peribaea sp,Pheidole megacephala,Pteromalidae sp,Sapromyza sp near nudiuscula,Scatopsidae sp,Sepsis lateralis,Simulium (Byssodon) sp 2,Simulium sp,Siphona sp,Syritta sp near abyssinica,Tarundia servillei,Thelairodrino sp,Trirhithrum sp near nigerrimum,Zaprionus tuberculatus
Acalyptrate sp,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0
Calcidoidae sp 1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Diptera sp 1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0
Dolichopodidae sp,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0
Graphomya maculata,1,0,1,1,0,1,1,1,1,2,3,1,0,1,1,0,1,0,1,1,3,1,1,1,1
Homoneura sp 2,1,0,1,1,1,0,2,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
Hyadina sp,1,0,1,1,1,2,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
Hyperaspis hottentota,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0
Lauxania sp,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0
Melanagromyza sojae,1,0,1,1,2,1,1,1,1,0,1,1,0,1,1,0,2,0,1,1,3,1,1,1,0
Ophyra capensis,1,0,1,1,3,1,1,1,1,1,0,1,0,1,3,0,1,1,1,1,2,1,1,2,0
Peribaea sp,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0
Pheidole megacephala,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Pteromalidae sp,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,0
Sapromyza sp near nudiuscula,1,0,1,1,1,1,1,1,1,1,3,1,0,1,0,0,1,0,1,1,1,2,1,1,0
Scatopsidae sp,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sepsis lateralis,1,0,1,1,1,1,1,1,1,2,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0
Simulium (Byssodon) sp 2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Simulium sp,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0
Siphona sp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0
Syritta sp near abyssinica,1,0,1,1,3,1,1,1,1,3,2,1,0,1,1,0,1,1,1,1,0,1,1,2,0
Tarundia servillei,1,0,1,1,1,1,1,1,1,1,1,1,0,1,2,0,1,0,1,1,1,0,1,1,0
Thelairodrino sp,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0
Trirhithrum sp near nigerrimum,1,0,1,1,1,1,1,1,1,1,2,1,0,1,1,0,1,1,1,1,2,1,1,0,0
Zaprionus tuberculatus,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
