,Ahasverus advena,Allograpta sp 1,Anthomyia faciata,Apis mellifera,Bactrocera cucurbitae,Brachymyrmex sp,Campopleginae sp,Cerambycidae sp 1,Chaetocnema sp,Chrysomya megacephala,Conocephalus sp 1,Dasytinae sp,Drosophila sp 2,Drosophila sp 3,Eilema squalida,Episyrphus sp near circularis,Eristalinus flaveolus,Eumolpinae sp 1,Gelechioidea sp 1,Goniurellia or Dectodes sp,Hydrillodes sp,Lecithoceridae sp 1,Limonia (Dycranomia) sp,Lygaeidae sp 1,Macroglossum milvus,Mordellidae sp 1,Mordellidae sp 2,Mythimna sp,Nacoleia sp 1,Nacoleia sp 2,Ornidia obesa,Pachycerina crinicornis,Paleorhiza sp 1,Panara naso,Papillio manlius,Paragus borbonicus,Phelsuma cepediana,Phorinia sp,Psyllidae sp 1,Psyllidae sp 2,Sarrothripinae sp,Scopariinae sp,Stomorhina lunata,Strictopterinae sp,Technomyrmex albipes,Tettigoniidae sp 1,Villa unifasciata,Zizeeria knysa
Ahasverus advena,0,0,0,2,1,1,0,1,2,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2,0,1,1,0,1,0,2,0,0,0,0,0,0,2,0,3,0,0,0
Allograpta sp 1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
Anthomyia faciata,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0
Apis mellifera,2,1,1,0,1,13,1,2,12,21,0,1,0,1,1,10,14,1,2,3,2,2,1,0,1,1,0,1,18,6,9,23,1,9,1,12,9,8,1,1,0,2,24,0,31,1,17,1
Bactrocera cucurbitae,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0
Brachymyrmex sp,1,1,0,13,0,0,0,0,10,9,0,1,0,1,0,7,9,0,0,3,1,2,1,0,0,1,1,0,9,4,6,14,0,4,0,9,3,9,1,0,0,0,13,0,16,1,6,0
Campopleginae sp,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0
Cerambycidae sp 1,1,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0
Chaetocnema sp,2,0,0,12,1,10,0,1,0,10,0,1,0,1,0,6,8,1,0,3,1,0,1,0,0,0,0,0,6,2,2,11,0,4,0,6,0,6,1,0,0,0,9,0,14,0,6,0
Chrysomya megacephala,2,0,1,21,1,9,0,1,10,0,0,1,0,0,1,10,18,1,2,3,1,2,0,0,1,0,0,1,12,4,9,19,0,5,1,11,2,10,1,0,0,2,18,0,20,1,10,1
Conocephalus sp 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Dasytinae sp,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0
Drosophila sp 2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drosophila sp 3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Eilema squalida,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
Episyrphus sp near circularis,0,0,0,10,0,7,0,0,6,10,0,1,0,1,0,0,8,0,0,2,1,2,1,0,0,0,0,0,6,3,4,8,0,3,0,7,3,6,1,0,0,0,11,0,9,1,5,0
Eristalinus flaveolus,0,0,1,14,0,9,0,0,8,18,0,1,0,0,1,8,0,0,1,3,1,2,0,0,1,0,0,1,10,4,7,14,0,5,1,8,1,10,1,0,0,1,14,0,14,1,9,1
Eumolpinae sp 1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Gelechioidea sp 1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0
Goniurellia or Dectodes sp,0,0,0,3,0,3,0,0,3,3,0,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,3,0,1,3,0,2,0,3,0,2,1,0,0,0,2,0,3,0,3,0
Hydrillodes sp,0,0,1,2,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,2,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,2,0,1,0
