,Allograpta nasuta,Allograpta sp 2,Atherigona sp,Cerambycidae sp 3,Cheloninae sp 1,Cheloninae sp 2,Chironomidae sp,Condica capensis,Cryptinae sp,Drosophila sp 1,Fannia pusio,Henotesia narcissus,Homoneura quadrivittata,Homoneura sp 1,Ischiodon aegyptius,Leptotes pirithous,Limnophora quaterna,Mauritiborium undulatus,Melanostoma annulipes,Miridae sp,Musca domestica,Nyctemera insulare,Orchisia costata,Pelecophora intemipta,Remigia frugalis,Sarcophaga arno,Scirtidae sp 1,Scirtidae sp 2,Scolia carniflex,Scolia oryctophaga,Stomoxys calcitrans,Stomoxys niger,Syritta nigrofemorata,Zaprionus vittiger,Zosterops mauritianus
Allograpta nasuta,0,1,0,1,1,1,0,0,1,1,8,4,1,1,8,6,2,2,8,3,13,2,2,3,0,3,1,1,1,1,8,7,8,0,5
Allograpta sp 2,1,0,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,1,1,1,1,1,0,1
Atherigona sp,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1
Cerambycidae sp 3,1,1,0,0,1,0,0,0,0,1,1,2,0,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,1,1,1,1,1,0,1
Cheloninae sp 1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,1,1,1,1,1,0,1
Cheloninae sp 2,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0
Chironomidae sp,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1
Condica capensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Cryptinae sp,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0
Drosophila sp 1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,1,1,1,1,1,0,1
Fannia pusio,8,1,1,1,1,1,1,0,1,1,0,6,1,1,4,4,1,1,7,2,10,2,2,4,0,3,1,1,1,1,8,8,4,0,4
Henotesia narcissus,4,1,1,2,1,1,1,0,1,1,6,0,1,1,2,3,1,0,5,1,7,2,2,2,0,2,1,1,1,1,5,5,2,0,3
Homoneura quadrivittata,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0
Homoneura sp 1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,1,1,1,1,1,0,1
Ischiodon aegyptius,8,1,1,1,1,0,1,0,0,1,4,2,0,1,0,3,2,1,5,2,7,1,0,1,0,4,0,0,1,1,5,5,5,0,4
Leptotes pirithous,6,1,0,1,1,1,0,0,1,1,4,3,0,1,3,0,2,1,7,2,7,1,1,3,1,1,1,0,1,1,7,6,6,0,2
Limnophora quaterna,2,1,0,1,1,0,0,0,0,1,1,1,0,1,2,2,0,1,2,1,2,1,0,1,0,0,0,0,1,1,2,2,2,0,2
Mauritiborium undulatus,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,2,1,0,1
Melanostoma annulipes,8,1,1,1,1,1,1,0,1,1,7,5,1,1,5,7,2,1,0,3,10,2,2,3,1,4,1,1,1,1,9,9,6,0,3
Miridae sp,3,0,0,0,0,1,0,1,1,0,2,1,0,0,2,2,1,1,3,0,3,0,1,1,0,1,1,0,0,0,2,3,3,1,1
Musca domestica,13,1,1,1,1,1,1,0,1,1,10,7,1,1,7,7,2,1,10,3,0,2,2,3,0,5,1,1,1,1,10,9,8,0,5
