,Achaea finite,Acopsis viridicans,Aganais borbonica,Agrostis atritegulator,Cephonodes trochilus,Ceratitis roas,Cicadellidae sp,Dioxyna sororcula,Dysauxes florida,Foudia madagascariense,Hippotion eson,Lecithoceridae sp 2,Limoniidae sp,Lygaeidae sp 4,Lygaeidae sp 5,Lygistorrhina sp,Melanostoma bituberculatum,Nogodinidae sp,Orthellia albigena,Phalanta phalantha ,Polistes hebraeus,Psilopa iceryae,Pterophoridae sp,Pycnonotus jocosus,Spilogona sp ,Spodoptera littoralis,Trichoplusia indicator 
Achaea finite,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,0,1,1
Acopsis viridicans,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2,3,1,1,1,1,1,2,1,0,0,0,0
Aganais borbonica,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,0,1,1
Agrostis atritegulator,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,0,1,1
Cephonodes trochilus,1,0,1,1,0,1,0,1,1,1,2,2,1,0,0,1,1,0,1,0,1,1,0,1,0,1,2
Ceratitis roas,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,2,0,2,1,0,1,0,1,1
Cicadellidae sp,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0
Dioxyna sororcula,1,1,1,1,1,1,1,0,3,1,1,1,1,1,1,2,3,1,2,1,2,3,1,1,0,1,1
Dysauxes florida,1,0,1,1,1,1,0,3,0,1,1,1,1,0,0,1,2,0,1,0,1,1,0,1,0,1,1
Foudia madagascariense,1,0,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,0,1,0,1,1,0,1,0,1,1
Hippotion eson,1,0,1,1,2,1,0,1,1,1,0,1,1,0,0,1,1,0,1,0,1,1,0,1,0,1,1
Lecithoceridae sp 2,1,0,1,1,2,1,0,1,1,1,1,0,1,0,0,1,1,0,1,0,1,2,0,1,0,1,2
Limoniidae sp,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1,0,1,0,1,1
Lygaeidae sp 4,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0
Lygaeidae sp 5,0,2,0,0,0,0,1,1,0,0,0,0,0,1,0,2,2,1,1,1,1,1,1,0,1,0,0
Lygistorrhina sp,1,3,1,1,1,1,1,2,1,1,1,1,1,1,2,0,2,1,3,1,4,3,1,1,0,1,1
Melanostoma bituberculatum,1,1,1,1,1,1,1,3,2,1,1,1,1,1,2,2,0,1,2,1,3,3,1,1,1,1,1
Nogodinidae sp,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0
Orthellia albigena,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,3,2,1,0,1,4,2,1,1,0,1,1
Phalanta phalantha ,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0
Polistes hebraeus,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,4,3,1,4,1,0,2,1,1,0,1,1
Psilopa iceryae,1,2,1,1,1,1,1,3,1,1,1,2,1,1,1,3,3,1,2,1,2,0,1,1,0,1,1
Pterophoridae sp,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Pycnonotus jocosus,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,0,0,1,1
Spilogona sp ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Spodoptera littoralis,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1
Trichoplusia indicator ,1,0,1,1,2,1,0,1,1,1,1,2,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0
