Species names,Antidesma madagascariense,Antirhea borbonica,Aphloia theiformis,Ardisia crenate,Badula insularis,Badula platiphylla,Bertiera zaluzania,Calophyllum eputamen var eputamen,Casearia coriacea,Chassalia coriacea var coriacea,Claoxylon linostachys ssp brachyphyllum,Clidemia hirta,Coffea macrocarpa,Coffea mauritiana,Cordemoya integrifolia,Croton fothergillifolius,Croton grangeroides,Diospyros revaughanii,Dodonaea viscosa ,Doratoxylon apetalum var diphyllum,Dracaena reflexa var angustifolia,Embelia angustifolia,Erythrospermum monticolum var monticolum,Erythroxylum macrocarpum,Eugenia orbiculata,Euodia obtusifolia ssp gigas var gigas,Faujasiopsis flexuosa ssp erecta,Flagellaria indica,Gaertnera psychotrioides/edentata,Gaertnera rotundifolia,Grangeria borbonica,Harungana madagascariensis,Helichrysum proteoides,Homalanthus populifolius,Labourdonnaisia callophylloides,Molinaea alternifolia,Molinaea macrantha,Myonima violacea var ovata,Ochna mauritiana,Olea lancea,Ossaea marginata,Phyllanthus phillyreifolius var telfairianus,Pittosporum senacia,Psathura terniflora,Psiadia terebinthina,Psidium cattleianum,Rubus alcefolius,Sideroxylon cinereum,Sideroxylon puberulum,Smilax anceps,Stillingia lineata ssp lineata,Syzygium commersonii,Syzygium coriaceum,Syzygium glomeratum,Syzygium petrinese,Tabernaemontana persicarifolia,Toddalia asiatica,Tristhema mauritiana,Trochetia blackburniana,Turraea rigida,Warneckea trinervis,Wikstroemia indica,Xylopia lamarckii 
Ahasverus advena Waltle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016425121,0,0,0,0,0,0,0,0,0,0,0,0,0.01944664,0,0.001545894,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015357718,0,0,0,0,0,0.096106281,0,0,0,0,0,0,0,0,0,0,0,0
Cerambycidae sp 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078903356,0,0,0,0,0,0.05884058,0,0,0,0,0,0,0,0,0,0,0,0
Cerambycidae sp 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006570048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cerambycidae sp 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039227053,0,0,0,0,0,0,0,0,0,0,0,0
Chaetocnema sp 1,0.030144928,0.200396644,0.600171153,0,0.00115942,0.009789932,0,0.007342995,0,0,0,0,0.002943144,0,0.01242236,0.448145742,0.163150765,0,0.218115944,0,0,0,0,0.153643436,0,0.000507246,0.006247067,0.018086957,0.146004141,0,0.018506556,0.01252174,0.225921325,0.479987817,0.032463768,0.183482126,0,0,0.807964715,0.366243574,0,0.012714352,0,0,1.325915562,1.887385783,0,0.04537971,0,0,4.381661857,0,0.208037727,0,0,0.005714286,0.050295652,0,0,0,0,0.222847021,0
Cratopus psittacus Faimaire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039227053,0,0,0,0,0,0,0,0,0,0,0,0
Cryptocephalinae sp 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023768116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dasytinae sp 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00021989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eumolpinae sp 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00821256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eumolpinae sp 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002937198,0,0,0,0,0,0,0.002120083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
