Species name,Agauria salicifolia,Antidesma madagascariense,Antirhea borbonica,Aphloia theiformis,Badula insularis,Badula platiphylla,Bakerella hoyifolia ssp bojeri,Bertiera zaluzania ,Calophyllum eputamen var eputamen,Casearia coriacea,Chassalia coriacea var coriacea,Chassalia petrinensis,Claoxylon linostachys ssp brachyphyllum,Coffea macrocarpa,Coffea mauritiana,Colea colei,Cordemoya integrifolia,Croton fothergillifolius,Diospyros revaughanii,Dodonaea viscosa ,Doratoxylon apetalum var apetalum,Dracaena reflexa var angustifolia,Embelia angustifolia,Erythrospermum monticolum var monticolum,Erythroxylum macrocarpum,Eugenia orbiculata,Euodia chapelieri var chapelieri,Euodia obtusifolia ssp gigas var brachypoda,Euodia obtusifolia ssp gigas var gigas,Faujasiopsis flexuosa ssp erecta,Flagellaria indica,Gaertnera petrinensis,Gaertnera psychotrioides/edentata,Gaertnera rotundifolia,Geniostoma borbonicum,Grangeria borbonica,Helichrysum proteoides,Labourdonnaisia callophylloides,Memecylon ovatifolium,Mimusops erythroxylon,Molinaea alternifolia,Monimiastrum globosum,Ochna mauritiana,Ocotea laevigata,Olea lancea,Pandanus barklyi var barklyi,Pandanus rigidifolius,Pandanus wiehii,Phyllanthus phillyreifolius var telfairianus,Pittosporum senacia,Pleurostylia leucocarpa ,Polyscias mauritiana,Psiadia terebinthina,Pyrostria fasciculata,Roussea simplex ,Sideroxylon cinereum,Sideroxylon puberulum,Smilax anceps,Stillingia lineata ssp lineata,Syzygium commersonii,Syzygium coriaceum,Syzygium glomeratum,Syzygium mauritianum,Syzygium petrinese,Syzygium venosum,Tabernaemontana persicarifolia,Tambourissa peltata,Toddalia asiatica,Tristhema mauritiana,Trochetia blackburniana,Turraea rigida,Warneckea trinervis,Xylopia lamarckii,Xyris sp
Ahasverus advena Waltle,0,0,0,0,0,0.000734299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001831884,0,0,0,0,0,0,0,0,0,0.006502835,0,0,0,0,0,0.019130435,0,0,0,0,0.018937198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cerambycidae sp 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000869565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00394525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cerambycidae sp 3,0,0,0,0.104476651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00573913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chaetocnema sp 1,0,0,0,0,0,0,0,0,0.03084058,0,0,0,0.030408432,0,0.001821946,0,0.009033817,0.147364734,0,0,0,0,0,0,0.059249787,0,0,0,0,0,0,0,0,0,0,0,0.021304348,0,0,0.048951406,0,0.000144928,0,0,0.042608696,0,0,0,0,0.000289855,0,0,0.585057971,0,0,0,0,0,3.813913042,0,0.053953964,0,0,0,0,0,0,0.001650242,0,0,0,0,0,0
Dasytinae sp 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035797101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eumolpinae sp 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006376812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyperaspis hottentota Mulsant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022434783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritiborium undulatus ,0,0.004444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006587615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000289855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mordellidae sp 1,0,0,0,0,0,0.001223832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022028986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mordellidae sp 2,0,0,0,0,0,0.000305958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pelecophora intemipta All,0,0.002222222,0,0.35041858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278599034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002678261,0,0,0,0,0,0
Scirtidae sp 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001352657,0,0,0,0,0,0
Scirtidae sp 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009070759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
