Species name,Agauria salicifolia,Antidesma madagascariense,Antirhea borbonica,Aphloia theiformis,Badula insularis,Badula platiphylla,Bakerella hoyifolia ssp bojeri,Bertiera zaluzania ,Calophyllum eputamen var eputamen,Casearia coriacea,Chassalia coriacea var coriacea,Chassalia petrinensis,Claoxylon linostachys ssp brachyphyllum,Coffea macrocarpa,Coffea mauritiana,Colea colei,Cordemoya integrifolia,Croton fothergillifolius,Diospyros revaughanii,Dodonaea viscosa ,Doratoxylon apetalum var apetalum,Dracaena reflexa var angustifolia,Embelia angustifolia,Erythrospermum monticolum var monticolum,Erythroxylum macrocarpum,Eugenia orbiculata,Euodia chapelieri var chapelieri,Euodia obtusifolia ssp gigas var brachypoda,Euodia obtusifolia ssp gigas var gigas,Faujasiopsis flexuosa ssp erecta,Flagellaria indica,Gaertnera petrinensis,Gaertnera psychotrioides/edentata,Gaertnera rotundifolia,Geniostoma borbonicum,Grangeria borbonica,Helichrysum proteoides,Labourdonnaisia callophylloides,Memecylon ovatifolium,Mimusops erythroxylon,Molinaea alternifolia,Monimiastrum globosum,Ochna mauritiana,Ocotea laevigata,Olea lancea,Pandanus barklyi var barklyi,Pandanus rigidifolius,Pandanus wiehii,Phyllanthus phillyreifolius var telfairianus,Pittosporum senacia,Pleurostylia leucocarpa ,Polyscias mauritiana,Psiadia terebinthina,Pyrostria fasciculata,Roussea simplex ,Sideroxylon cinereum,Sideroxylon puberulum,Smilax anceps,Stillingia lineata ssp lineata,Syzygium commersonii,Syzygium coriaceum,Syzygium glomeratum,Syzygium mauritianum,Syzygium petrinese,Syzygium venosum,Tabernaemontana persicarifolia,Tambourissa peltata,Toddalia asiatica,Tristhema mauritiana,Trochetia blackburniana,Turraea rigida,Warneckea trinervis,Xylopia lamarckii,Xyris sp
Acalyptrate sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.336521739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allograpta nasuta Marquart,0,0,0,0.134911153,0,0,0,0.008809838,0,0,0.016066253,0,0.035838509,0.004565218,0.002809365,0,0,0.059661836,0,0,0,0.005695398,0,0.003816425,0.013175231,0,0,0,0,0,0,0,0,0.004985507,0.012336232,0,0,0,0.002198901,0,0,0.000144928,0,0,0,0,0,0,0,0,0,0,0.334318841,0,0.008623189,0,0.001014493,0,0.078521739,0,0,0,0,0,0,0,0,0.000892754,0,0,0,0.013681159,0,0
Allograpta sp 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002318841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allograpta sp 2,0,0,0,0.16352867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthomyia faciata Walker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038325282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atherigona sp 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000507246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bactrocera cucurbitae Coquillett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008354646,0,0,0,0.034901961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ceratitis roas Karsch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003150599,0,0,0,0,0,0,0,0,0,0.009070759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004328502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chironomidae sp 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002705314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chrysomya megacephala Fabricius,0,0,0,0.71676573,0.00125,0,0.000231884,0.031571907,0.001623188,0,0,0,0,0.002921739,0,0,0,0.089879088,0,0,0,0,0,0,0.005574136,0,0.011533181,0.000178372,0,0,0,0,0.067429443,0,0.089951691,0.001242236,0,0,0,0.014347826,0.015888889,0,0,0.003623188,0.007890499,0,0,0,0,9.32E-05,0,0.002318841,0.7530368,0,0,0.010483092,0.012985507,0,0.759043478,0,0.296162885,0.002796875,0,0,0,0,0,0.007337999,0,0,0,0.027362319,0,0
Dioxyna sororcula Wiedemann,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060230044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004888889,0,0,0,0,0,0,0,0,0,0,0,0.334318841,0,0,0,0.001623188,0,0,0,0,0,0,0,0,0,0,0.001785507,0,0,0,0,0,0
Diptera sp 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.523478261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dolichopodidae sp 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074782609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drosophila sp 1,0,0,0,0.125371981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drosophila sp 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006502835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drosophila sp 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004637681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000496894,0,0,0,0,0,0,0
Episyrphus sp. near circularis Hull,0,0,0,0.470144928,0,0,0,0.005700483,0.003246377,0,0,0,0,0,0.00115942,0,0,0.009545894,0,0,0,0,0,0,0.006587615,0,0,0.000105402,0,0,0,0,0,0,0,0,0,0,0.008361048,0,0.004888889,0,0,0,0,0.022028984,0,0,0,4.35E-05,0,0,0,0,0,0,0,0,0,0,0,0.000913896,0,0,0,0,0,0.001653247,0,0,0,0,0,0
Eristalinus flaveolus Bigot,0,0,0,1.492953865,0.0016,0,0,0,0.003246377,0,0,0,0,0.002921739,0,0,0,0.09784541,0,0,0,0,0,0,0.019762846,0,0,0,0,0,0,0,0.123188406,0,0.003084058,0,0,0,0,0,0.010388889,0,0,0.012077295,0,0,0,0,0,4.97E-05,0,0,0.476404348,0,0,0,0.002705314,0,0.246782609,0,0.019412008,0.000894951,0,0,0,0,0,0.002231884,0,0,0,0.013681159,0,0
Fannia pusio Wiedemann,0,0.004444444,0,0.503726708,0,0,0,0,0,0,0,0,0.030408432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036200966,0,0,0,0,0,0.110611111,0,0,0,0,0,0,0,0,0,0,0,0.85437037,0,0.011086957,0.030072464,0.001623188,0,0.626304348,0,0,0,0,0,0,0,0,0.005627053,0,0,0,0,0,0
