Species name,Agauria salicifolia,Antidesma madagascariense,Antirhea borbonica,Aphloia theiformis,Badula insularis,Badula platiphylla,Bakerella hoyifolia ssp bojeri,Bertiera zaluzania ,Calophyllum eputamen var eputamen,Casearia coriacea,Chassalia coriacea var coriacea,Chassalia petrinensis,Claoxylon linostachys ssp brachyphyllum,Coffea macrocarpa,Coffea mauritiana,Colea colei,Cordemoya integrifolia,Croton fothergillifolius,Diospyros revaughanii,Dodonaea viscosa ,Doratoxylon apetalum var apetalum,Dracaena reflexa var angustifolia,Embelia angustifolia,Erythrospermum monticolum var monticolum,Erythroxylum macrocarpum,Eugenia orbiculata,Euodia chapelieri var chapelieri,Euodia obtusifolia ssp gigas var brachypoda,Euodia obtusifolia ssp gigas var gigas,Faujasiopsis flexuosa ssp erecta,Flagellaria indica,Gaertnera petrinensis,Gaertnera psychotrioides/edentata,Gaertnera rotundifolia,Geniostoma borbonicum,Grangeria borbonica,Helichrysum proteoides,Labourdonnaisia callophylloides,Memecylon ovatifolium,Mimusops erythroxylon,Molinaea alternifolia,Monimiastrum globosum,Ochna mauritiana,Ocotea laevigata,Olea lancea,Pandanus barklyi var barklyi,Pandanus rigidifolius,Pandanus wiehii,Phyllanthus phillyreifolius var telfairianus,Pittosporum senacia,Pleurostylia leucocarpa ,Polyscias mauritiana,Psiadia terebinthina,Pyrostria fasciculata,Roussea simplex ,Sideroxylon cinereum,Sideroxylon puberulum,Smilax anceps,Stillingia lineata ssp lineata,Syzygium commersonii,Syzygium coriaceum,Syzygium glomeratum,Syzygium mauritianum,Syzygium petrinese,Syzygium venosum,Tabernaemontana persicarifolia,Tambourissa peltata,Toddalia asiatica,Tristhema mauritiana,Trochetia blackburniana,Turraea rigida,Warneckea trinervis,Xylopia lamarckii,Xyris sp
Apis mellifera Linnaeus,0.011826087,0,0,12.15799906,0.001052632,0,0.000242926,0.083330699,0.011851852,0,0,0,0,0.035608697,0.000490524,0,0.061337298,0.008949275,0.07659351,0,0,0.014210331,0,0,0.012077295,0.000869565,0.038347826,0,0.002898551,0,0.00140195,0.003146998,0.122808231,0,0.009948574,0.008348861,0.101090616,0.468561635,0.002930757,0.016397515,0.063226495,0.000165631,0,0,0.008876812,0.649855028,0.000248447,0,0,0.000875086,0,0,3.445432431,0.022153209,0.030533127,0.09772549,0.137761967,0.000278261,0.112173913,0,0,0,0.000386473,0.030446408,0.000828157,0,0,0,0,0,0.004444444,0.242351967,0,0
Brachymyrmex sp ,0,0,0,4.498706124,0,0.004589372,0,0,0,0.005672878,0,0,0.310619154,0,0.010202899,0,0,0.219344984,0.003091787,0,0.002898551,0,0.129765631,0,0.115942029,0,0,0,0,0,0,0,0,0,0,0,0.010652174,0,0,0,0.257597882,0,0,0,0,0,0,0,0,0.00057971,0,0,4.810476651,0,0.004927536,0,0,0.000115942,0.560869565,0,0.206252587,0,0,0,0.004140786,0,0,0.004463768,0,0,0,0,0,0
Calcidoidae sp1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023733333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campopleginae sp1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0027343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cheloninae sp1,0,0,0,0.250743961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cheloninae sp2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000507246,0,0,0,0,0,0
Cryptinae sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002231884,0,0,0,0,0,0
Paleorhiza sp 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003478261,0,0,0,0,0,0,0,0,0,0
Pheidole megacephala Fabricius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.380488888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polistes hebraeus Fabricius,0,0,0,0.833723671,0,0,0,0.005261984,0.002318841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004262575,0,0,0,0,0,0,0,0,0,0,0.000543478,0,0.007689685,0,0,0,0,0,0,0,0,0,0.004637681,0,0,0,0,0.111439614,0,0.003695652,0.003753623,0.009468599,0,0,0,0,0,0,0.04980646,0.001067049,0,0,0,0,0,0,0,0,0
