Site,Animal order,Animal family,Animal species ,Animal code,Origin,No. of visits,Probed flowers (mean ± SE),la
R,Coleoptera,Cerambycidae,Cerambycidae sp 1,22,Un,2,1.50 ± 0.50,2
R,Coleoptera,Cerambycidae,Cerambycidae sp 3,24,Un,2,1.00 ± 0.00,2
R,Coleoptera,Cerambycidae,Mauritiborium undulatus,87,E,4,2.25 ± 0.25,3
R,Coleoptera,Chrysomelidae,Chaetocnema sp,26,I,94,1.64 ± 0.12,15
R,Coleoptera,Chrysomelidae,Eumolpinae sp 1,52,Un,1,1.00,1
R,Coleoptera,Coccinellidae,Hyperaspis hottentota,71,Un,1,2.00,1
R,Coleoptera,Cucujidae,Ahasverus advena,7,I,8,1.50 ± 0.19,5
R,Coleoptera,Melyridae,Dasytinae sp,40,Un,1,1.00,1
R,Coleoptera,Melyridae,Pelecophora intemipta,113,Un,9,2.33 ± 0.65,4
R,Coleoptera,Mordellidae,Mordellidae sp 1,92,Un,6,1.17 ± 0.17,2
R,Coleoptera,Mordellidae,Mordellidae sp 2,93,Un,1,1.00,1
R,Coleoptera,Scirtidae,Scirtidae sp 1,131,Un,1,1.00,1
R,Coleoptera,Scirtidae,Scirtidae sp 2,132,Un,1,1.00,1
R,Diptera,Acalyptrate,Acalyptrate sp,1,Un,3,2.00 ± 0.58,1
R,Diptera,Agromyzidae,Melanagromyza sojae,88,I,5,4.00 ± 1.05,4
R,Diptera,Anthomyiidae,Anthomyia faciata,12,N,1,2.00,1
R,Diptera,Bombyliidae,Villa unifasciata,156,N,68,3.06 ± 0.24,19
R,Diptera,Calliphoridae,Chrysomya megacephala,31,N,129,5.16 ± 0.50,27
R,Diptera,Calliphoridae,Stomorhina lunata,142,I,444,4.81 ± 0.25,35
R,Diptera,Chironomidae,Chironomidae sp,30,Un,1,1.00,1
R,Diptera,Dolichopodidae,Dolichopodidae sp,44,Un,2,1.00 ± 0.00,1
R,Diptera,Drosophilidae,Drosophila sp 1,45,Un,1,1.00,1
R,Diptera,Drosophilidae,Drosophila sp 2,46,Un,2,1.00 ± 0.00,1
R,Diptera,Drosophilidae,Drosophila sp 3,47,Un,5,1.6 ± 0.24,2
R,Diptera,Drosophilidae,Zaprionus tuberculatus,157,I,3,1.00 ± 0.00,1
R,Diptera,Drosophilidae,Zaprionus vittiger,158,I,1,1.00,1
R,Diptera,Ephydridae,Hyadina sp,68,Un,2,3.00 ± 1.00,2
R,Diptera,Ephydridae,Psilopa iceryae,120,I,26,2.27 ± 0.36,11
R,Diptera,Fanniidae,Fannia pusio,56,I,95,3.41 ± 0.21,11
R,Diptera,Lauxaniidae,Homoneura quadrivittata,65,E,2,1.00 ± 0.00,1
R,Diptera,Lauxaniidae,Homoneura sp 1,66,E,1,1.00,1
R,Diptera,Lauxaniidae,Homoneura sp 2,67,E,5,2.40 ± 1.17,2
R,Diptera,Lauxaniidae,Lauxania sp,73,Un,1,1.00,1
R,Diptera,Lauxaniidae,Pachycerina crinicornis,107,E,288,3.03 ± 0.14,35
