Node,BiSBM_Community
Agauria salicifolia,23
Antidesma madagascariense,23
Antirhea borbonica,23
Aphloia theiformis,23
Badula insularis,23
Badula platiphylla,23
Bakerella hoyifolia ssp bojeri,23
Bertiera zaluzania ,23
Calophyllum eputamen var eputamen,23
Casearia coriacea,23
Chassalia coriacea var coriacea,23
Chassalia petrinensis,23
Claoxylon linostachys ssp brachyphyllum,23
Coffea macrocarpa,23
Coffea mauritiana,23
Colea colei,109
Cordemoya integrifolia,23
Croton fothergillifolius,23
Diospyros revaughanii,23
Dodonaea viscosa ,23
Doratoxylon apetalum var apetalum,23
Dracaena reflexa var angustifolia,23
Embelia angustifolia,23
Erythrospermum monticolum var monticolum,23
Erythroxylum macrocarpum,23
Eugenia orbiculata,23
Euodia chapelieri var chapelieri,23
Euodia obtusifolia ssp gigas var brachypoda,23
Euodia obtusifolia ssp gigas var gigas,23
Faujasiopsis flexuosa ssp erecta,23
Flagellaria indica,23
Gaertnera petrinensis,23
Gaertnera psychotrioides/edentata,23
Gaertnera rotundifolia,23
Geniostoma borbonicum,23
Grangeria borbonica,23
Helichrysum proteoides,23
Labourdonnaisia callophylloides,23
Memecylon ovatifolium,23
Mimusops erythroxylon,23
Molinaea alternifolia,23
Monimiastrum globosum,23
Ochna mauritiana,23
Ocotea laevigata,23
Olea lancea,23
Pandanus barklyi var barklyi,23
Pandanus rigidifolius,23
Pandanus wiehii,23
Phyllanthus phillyreifolius var telfairianus,23
Pittosporum senacia,23
Pleurostylia leucocarpa ,23
Polyscias mauritiana,23
Psiadia terebinthina,23
Pyrostria fasciculata,23
Roussea simplex ,23
Sideroxylon cinereum,23
Sideroxylon puberulum,23
Smilax anceps,23
Stillingia lineata ssp lineata,23
Syzygium commersonii,23
Syzygium coriaceum,23
Syzygium glomeratum,23
Syzygium mauritianum,23
Syzygium petrinese,23
Syzygium venosum,23
Tabernaemontana persicarifolia,23
Tambourissa peltata,23
Toddalia asiatica,23
Tristhema mauritiana,23
Trochetia blackburniana,23
Turraea rigida,23
Warneckea trinervis,23
Xylopia lamarckii,23
Xyris sp,23
Acalyptrate sp,109
Achaea finite,109
Acopsis viridicans,109
Aganais borbonica,109
Agrostis atritegulator,109
Ahasverus advena,109
Allograpta nasuta,109
Allograpta sp 1,109
Allograpta sp 2,109
Anthomyia faciata,109
Apis mellifera,109
Atherigona sp,109
Bactrocera cucurbitae,109
Brachymyrmex sp ,109
Calcidoidae sp 1,109
Campopleginae sp,109
Cephonodes trochilus ,109
Cerambycidae sp 1,109
Cerambycidae sp 3,109
Ceratitis roas,109
Chaetocnema sp,109
Cheloninae sp 1,109
Cheloninae sp 2,109
Chironomidae sp,109
Chrysomya megacephala,109
Cicadellidae sp,109
Condica capensis,109
Conocephalus sp 1,109
Cryptinae sp,109
Dasytinae sp,109
Dioxyna sororcula,109
Diptera sp 1,109
Dolichopodidae sp,109
Drosophila sp 1,109
Drosophila sp 2,109
Drosophila sp 3,109
Dysauxes florida,109
Eilema squalida,109
Episyrphus sp near circularis,109
Eristalinus flaveolus,109
Eumolpinae sp 1,109
Fannia pusio,109
Foudia madagascariense,109
Gelechioidea sp 1,109
Goniurellia or Dectodes sp,109
Graphomya maculata,109
Henotesia narcissus,109
Hippotion eson,109
Homoneura quadrivittata,109
Homoneura sp 1,109
Homoneura sp 2,109
Hyadina sp ,109
Hydrillodes sp,109
Hyperaspis hottentota,109
Ischiodon aegyptius,109
Lauxania sp,109
Lecithoceridae sp 1,109
Lecithoceridae sp 2,109
Leptotes pirithous,109
Limnophora quaterna,109
Limonia (Dycranomia) sp,109
Limoniidae sp,109
Lygaeidae sp 1,109
Lygaeidae sp 4,109
Lygaeidae sp 5,109
Lygistorrhina sp,109
Macroglossum milvus,109
Mauritiborium undulatus ,109
Melanagromyza sojae,109
Melanostoma annulipes,109
Melanostoma bituberculatum,109
Miridae sp,109
Mordellidae sp 1,109
Mordellidae sp 2,109
Musca domestica,109
Mythimna sp,109
Nacoleia sp 1,109
Nacoleia sp 2,109
Nogodinidae sp,109
Nyctemera insulare,109
Ophyra capensis,109
Orchisia costata,109
Ornidia obesa,109
Orthellia albigena,109
Pachycerina crinicornis,109
Paleorhiza sp 1,109
Panara naso,109
Papillio manlius,109
Paragus borbonicus,109
Pelecophora intemipta ,109
Peribaea sp,109
Phalanta phalantha ,109
Pheidole megacephala,109
Phelsuma cepediana,109
Phorinia sp,109
Polistes hebraeus,109
Psilopa iceryae,109
Psyllidae sp 1,109
Psyllidae sp 2,109
Pteromalidae sp,109
Pterophoridae sp,109
Pycnonotus jocosus,109
Remigia frugalis,109
Sapromyza sp near nudiuscula,109
Sarcophaga arno ,109
Sarrothripinae sp,109
Scatopsidae sp,109
Scirtidae sp 1,109
Scirtidae sp 2,109
Scolia carniflex,109
Scolia oryctophaga ,109
Scopariinae sp,109
Sepsis lateralis,109
Simulium (Byssodon) sp 2,109
Simulium sp,109
Siphona sp,109
Spilogona sp ,109
Spodoptera littoralis,109
Stomorhina lunata,109
Stomoxys calcitrans ,109
Stomoxys niger,109
Strictopterinae sp,109
Syritta nigrofemorata,109
Syritta sp near abyssinica,109
Tarundia servillei,109
Technomyrmex albipes,109
Tettigoniidae sp 1,109
Thelairodrino sp,109
Trichoplusia indicator ,109
Trirhithrum sp near nigerrimum ,109
Villa unifasciata,109
Zaprionus tuberculatus,109
Zaprionus vittiger,109
Zizeeria knysa,109
Zosterops mauritianus,109
