,Agauria salicifolia,Antirhea borbonica,Chassalia coriacea var coriacea,Chassalia petrinensis,Coffea macrocarpa,Coffea mauritiana,Gaertnera petrinensis,Gaertnera psychotrioides/edentata,Gaertnera rotundifolia,Mimusops erythroxylon,Ochna mauritiana,Pandanus rigidifolius,Pandanus wiehii,Smilax anceps,Syzygium commersonii,Tabernaemontana persicarifolia,Tambourissa peltata,Trochetia blackburniana
Ahasverus advena,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006502835,0.019130435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthomyia faciata,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038325282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cephonodes trochilus ,0.0,0.0,0.011246377,0.0,0.0,0.0,0.0,0.071859903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Condica capensis,0.0,0.0,0.0,0.00057971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drosophila sp 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006502835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drosophila sp 3,0.0,0.0,0.0,0.0,0.0,0.004637681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000496894,0.0
Eilema squalida,0.0,0.068819876,0.0,0.0,0.003413989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eumolpinae sp 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006376812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hippotion eson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.229376811,0.001495652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydrillodes sp,0.0,0.0,0.0,0.0,0.0,0.001275362,0.0,0.194574507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leptotes pirithous,0.0,0.014452174,0.024991948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Limonia (Dycranomia) sp,0.0,0.0,0.0,0.0,0.0,0.001062802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Macroglossum milvus,0.0,0.0,0.004089592,0.0,0.0,0.0,0.0,0.121632342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mordellidae sp 1,0.0,0.0,0.0,0.0,0.0,0.0,0.022028986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mythimna sp,0.0,0.0,0.0,0.0,0.001587902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nacoleia sp 1,0.019063248,3.964562251,0.0,0.00173913,0.041300103,0.014763286,0.023602485,0.51997089,0.159319469,0.068869565,0.0,0.0,0.055652174,0.000496894,0.0,0.187638433,0.0,0.0
Panara naso,0.0,0.0,0.119896438,0.0,0.0,0.0,0.006884058,0.118260869,0.0,0.0,0.07254902,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Papillio manlius,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028743961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phelsuma cepediana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000269151,0.12057971,0.0,0.002125603,0.0,0.0,0.001449275
Remigia frugalis,0.0,0.103229814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sarcophaga arno ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018925831,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sarrothripinae sp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005304348,0.0,0.0
Scopariinae sp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026532887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strictopterinae sp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005304348,0.0,0.0
Zaprionus tuberculatus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001888198,0.0
Zaprionus vittiger,0.0,0.0,0.0,0.00057971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
