,Aphloia theiformis,Bakerella hoyifolia ssp bojeri,Bertiera zaluzania ,Casearia coriacea,Cordemoya integrifolia,Diospyros revaughanii,Doratoxylon apetalum var apetalum,Dracaena reflexa var angustifolia,Eugenia orbiculata,Grangeria borbonica,Labourdonnaisia callophylloides,Pandanus barklyi var barklyi,Pittosporum senacia,Pyrostria fasciculata,Roussea simplex ,Sideroxylon puberulum,Syzygium mauritianum,Syzygium petrinese,Tristhema mauritiana,Turraea rigida,Warneckea trinervis,Xylopia lamarckii
Achaea finite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000231884,0.0,0.0,0.0,0.0,0.0,0.0
Aganais borbonica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000231884,0.0,0.0,0.0,0.0,0.0,0.0
Agrostis atritegulator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000231884,0.0,0.0,0.0,0.0,0.0,0.0
Allograpta sp 1,0.0,0.0,0.0,0.0,0.0,0.002318841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allograpta sp 2,0.16352867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apis mellifera,12.15799906,0.000242926,0.083330699,0.0,0.061337298,0.07659351,0.0,0.014210331,0.000869565,0.008348861,0.468561635,0.649855028,0.000875086,0.022153209,0.030533127,0.137761967,0.000386473,0.030446408,0.0,0.004444444,0.242351967,0.0
Cerambycidae sp 3,0.104476651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cheloninae sp 1,0.250743961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drosophila sp 1,0.125371981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episyrphus sp near circularis,0.470144928,0.0,0.005700483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022028984,4.35e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eristalinus flaveolus,1.492953865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.97e-05,0.0,0.0,0.002705314,0.0,0.0,0.0,0.0,0.013681159,0.0
Foudia madagascariense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000450886,0.0,0.0,0.0,0.0,0.0,0.0
Henotesia narcissus,0.040882168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053968255,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Homoneura sp 1,0.110622336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lecithoceridae sp 1,0.134327122,0.0,0.0,0.0,0.0,0.001855072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Limnophora quaterna,0.081764335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Limoniidae sp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000737813,0.0,0.0,0.0,0.0,0.0,0.0
Melanostoma annulipes,2.722536398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nacoleia sp 2,0.385071083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nyctemera insulare,0.235072464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ornidia obesa,0.174201068,0.0,0.0,0.0,0.0,0.00057971,0.004508857,0.001830664,0.0,0.000434783,0.0,0.0,0.0,0.0,0.0,0.006763285,0.0,0.0,0.0,0.0,0.0,0.0
Paleorhiza sp 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003478261,0.0,0.0,0.0,0.0
Pelecophora intemipta ,0.35041858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Polistes hebraeus,0.833723671,0.0,0.005261984,0.0,0.0,0.0,0.0,0.0,0.0,0.000543478,0.007689685,0.0,0.0,0.0,0.003695652,0.009468599,0.0,0.04980646,0.0,0.0,0.0,0.0
Pycnonotus jocosus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001014493,0.0,0.0,0.0,0.0,0.0,0.0
Scolia carniflex,0.098977879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scolia oryctophaga ,0.072329989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spodoptera littoralis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000231884,0.0,0.0,0.0,0.0,0.0,0.0
Stomoxys niger,0.880014864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Technomyrmex albipes,8.779404653,0.001656314,0.034148609,0.231627967,0.048296173,0.009275362,0.017713366,0.034782609,0.002608695,0.003483437,0.306404355,0.0,0.004650667,0.0,0.098550727,0.016231884,0.0,0.229565217,0.00173913,0.040857143,0.109449275,0.00057971
Trichoplusia indicator ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00173913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001420583,0.0,0.0,0.0,0.0,0.0,0.0
Zosterops mauritianus,0.534674623,0.0,0.006529644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038594893,0.0,0.0,0.0,0.017129055,0.006316498,0.0,0.0,0.0,0.003333333,0.0,0.0
