,Badula insularis,Badula platiphylla,Chassalia coriacea var coriacea,Claoxylon linostachys ssp brachyphyllum,Croton fothergillifolius,Embelia angustifolia,Erythroxylum macrocarpum,Euodia obtusifolia ssp gigas var gigas,Monimiastrum globosum,Ochna mauritiana,Psiadia terebinthina,Syzygium venosum
Acopsis viridicans,0.0,0.0,0.0,0.022299517,0.0,0.0,0.0,0.0,0.0,0.0,0.334318841,0.0
Allograpta nasuta,0.0,0.0,0.016066253,0.035838509,0.059661836,0.0,0.013175231,0.0,0.000144928,0.0,0.334318841,0.0
Brachymyrmex sp ,0.0,0.004589372,0.0,0.310619154,0.219344984,0.129765631,0.115942029,0.0,0.0,0.0,4.810476651,0.004140786
Cicadellidae sp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16715942,0.0
Dasytinae sp,0.0,0.0,0.0,0.0,0.035797101,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dioxyna sororcula,0.0,0.0,0.0,0.0,0.060230044,0.0,0.0,0.0,0.0,0.0,0.334318841,0.0
Dysauxes florida,0.0,0.0,0.0,0.0,0.055146886,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Goniurellia or Dectodes sp,0.0,0.0,0.0,0.0,0.029830918,0.0,0.0,0.0,0.0,0.0,1.103252174,0.0
Ischiodon aegyptius,0.0,0.0,0.0,0.04013913,0.099720497,0.0,0.006587615,0.0,0.0,0.035748792,0.0,0.0
Leptotes pirithous,0.0,0.0,0.024991948,0.0,0.038979066,0.0,0.002787068,0.0,0.0,0.0,0.069649758,0.0
Lygaeidae sp 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.087978642,0.0
Lygaeidae sp 5,0.0,0.0,0.0,0.022299517,0.0,0.0,0.0,0.0,0.0,0.0,0.997384541,0.0
Lygistorrhina sp,0.0,0.0,0.0,0.033449275,0.0,0.0,0.0,0.0,0.0,0.0,0.16715942,0.0
Mauritiborium undulatus ,0.0,0.0,0.0,0.0,0.0,0.0,0.006587615,0.0,0.000289855,0.0,0.0,0.0
Melanostoma bituberculatum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.334318841,0.0
Miridae sp,0.0,0.0,0.0,0.041254106,0.0,0.0,0.003150599,0.0,0.0,0.0,0.0,0.0
Mordellidae sp 2,0.0,0.000305958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nogodinidae sp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.928663446,0.0
Orthellia albigena,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.303926219,0.0
Panara naso,0.0,0.0,0.119896438,0.0,0.0,0.0,0.012077295,0.0,0.000144928,0.07254902,0.26352191,0.0
Phalanta phalantha ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111439614,0.0
Psyllidae sp 1,0.0,0.0,0.0,0.0,0.010227743,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pterophoridae sp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111439614,0.0
Sapromyza sp near nudiuscula,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.417898551,0.0
Sarcophaga arno ,0.0,0.0,0.0,0.005574879,0.009545894,0.0,0.0,0.0,0.0,0.018925831,0.0,0.0
Stomorhina lunata,0.014397076,0.002202898,0.069620428,0.0,0.667096442,0.005478261,0.061228626,0.0,0.00057971,0.0,8.10132789,0.00179434
Stomoxys calcitrans ,0.0,0.0,0.0,0.0,0.211787341,0.0,0.025953234,0.0,0.0,0.0,1.286198873,0.0
Syritta nigrofemorata,0.0,0.0,0.008997101,0.005574879,0.016563513,0.0,0.016798419,0.0,0.0,0.0,0.453187762,0.0
Villa unifasciata,0.0,0.0,0.0,0.0,0.00633577,0.0,0.0,0.032463768,0.000386473,0.024749164,1.063410691,0.0
Zizeeria knysa,0.001052632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
