,Antidesma madagascariense,Calophyllum eputamen var eputamen,Dodonaea viscosa ,Erythrospermum monticolum var monticolum,Euodia chapelieri var chapelieri,Euodia obtusifolia ssp gigas var brachypoda,Faujasiopsis flexuosa ssp erecta,Flagellaria indica,Geniostoma borbonicum,Helichrysum proteoides,Memecylon ovatifolium,Molinaea alternifolia,Ocotea laevigata,Olea lancea,Pleurostylia leucocarpa ,Polyscias mauritiana,Sideroxylon cinereum,Stillingia lineata ssp lineata,Syzygium coriaceum,Syzygium glomeratum,Toddalia asiatica,Xyris sp
Acalyptrate sp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.336521739,0.0,0.0,0.0,0.0
Atherigona sp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000507246,0.0,0.0,0.0,0.0,0.0
Campopleginae sp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cerambycidae sp 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00394525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceratitis roas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009070759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chaetocnema sp,0.0,0.03084058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021304348,0.0,0.0,0.0,0.042608696,0.0,0.0,0.0,3.813913042,0.053953964,0.0,0.001650242,0.0
Cheloninae sp 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000507246,0.0
Chironomidae sp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002705314,0.0,0.0,0.0,0.0,0.0
Chrysomya megacephala,0.0,0.001623188,0.0,0.0,0.011533181,0.000178372,0.0,0.0,0.089951691,0.0,0.0,0.015888889,0.003623188,0.007890499,0.0,0.002318841,0.010483092,0.759043478,0.296162885,0.002796875,0.007337999,0.0
Conocephalus sp 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002434783
Cryptinae sp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002231884,0.0
Diptera sp 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.523478261,0.0,0.0,0.0,0.0
Dolichopodidae sp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.074782609,0.0,0.0,0.0,0.0
Fannia pusio,0.004444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036200966,0.0,0.0,0.110611111,0.0,0.0,0.0,0.0,0.030072464,0.626304348,0.0,0.0,0.005627053,0.0
Gelechioidea sp 1,0.0,0.0,0.0,0.0,0.013695652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Graphomya maculata,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0055,0.0,0.0,0.0,0.0,0.0,0.349608696,0.064853755,0.0,0.0,0.0
Homoneura quadrivittata,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018141517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Homoneura sp 2,0.004444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.448695652,0.0,0.0,0.0,0.0
Hyadina sp ,0.002222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.112173913,0.0,0.0,0.0,0.0
Hyperaspis hottentota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022434783,0.0,0.0,0.0,0.0
Lauxania sp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.112173913,0.0,0.0,0.0,0.0
Lecithoceridae sp 2,0.002051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lygaeidae sp 1,0.0,0.0,0.0,0.0,0.0,0.0,0.003285024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Melanagromyza sojae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056086957,0.01998295,0.0,0.001190338,0.0
Musca domestica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057569082,0.0,0.001256039,0.039111111,0.018518519,0.0,0.000398551,0.0,0.007536232,1.037519668,0.339704954,0.001827792,0.022318841,0.0
Ophyra capensis,0.0,0.002318841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058666666,0.0,0.0,0.00013285,0.0,0.006956522,0.299130435,0.0,0.0,0.0,0.0
Orchisia costata,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009070759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001352657,0.0
Pachycerina crinicornis,0.036372269,0.0,0.130875362,0.003522854,0.047478261,0.0,0.001895206,0.007826517,0.202606334,0.126050724,0.0,0.172333333,0.019075932,0.0,0.0,0.012488614,0.016231884,2.461594202,0.029118012,0.0,0.154429441,0.0
Paragus borbonicus,0.0,0.0,0.006415459,0.003816425,0.026688963,7.48e-05,0.0,0.0,0.0,0.0,0.008193237,0.012222222,0.0,0.021698873,0.000664251,0.0,0.0,0.643664596,0.230565908,0.000322061,0.0,0.003652174
Peribaea sp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.074782609,0.0,0.0,0.0,0.0
Phorinia sp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004888889,0.0,0.0,0.0,0.0,0.0,0.280434783,0.162399096,0.00115942,0.008271003,0.0
Psilopa iceryae,0.007407407,0.0,0.0,0.003663768,0.0,0.0,0.00410628,0.0,0.0,0.060362319,0.0,0.0,0.0,0.00236715,0.0,0.0,0.0,0.0,0.0,0.0,0.035710146,0.0
Psyllidae sp 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00136715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pteromalidae sp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.124637681,0.0,0.0,0.0,0.0
Scatopsidae sp,0.004444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scirtidae sp 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001352657,0.0
Scirtidae sp 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009070759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sepsis lateralis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.299130435,0.0,0.0,0.004605302,0.0
Simulium (Byssodon) sp 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
