species,classification
Acalyptrate sp,specialist
Achaea finite,specialist
Aganais borbonica,specialist
Agrostis atritegulator,specialist
Allograpta sp 1,specialist
Allograpta sp 2,specialist
Anthomyia faciata,specialist
Atherigona sp,specialist
Calcidoidae sp 1,specialist
Campopleginae sp,specialist
Cheloninae sp 1,specialist
Cheloninae sp 2,specialist
Chironomidae sp,specialist
Cicadellidae sp,specialist
Condica capensis,specialist
Conocephalus sp 1,specialist
Cryptinae sp,specialist
Dasytinae sp,specialist
Diptera sp 1,specialist
Dolichopodidae sp,specialist
Drosophila sp 1,specialist
Drosophila sp 2,specialist
Eumolpinae sp 1,specialist
Foudia madagascariense,specialist
Homoneura quadrivittata,specialist
Homoneura sp 1,specialist
Hyperaspis hottentota,specialist
Lauxania sp,specialist
Limonia (Dycranomia) sp,specialist
Limoniidae sp,specialist
Lygaeidae sp 1,specialist
Lygaeidae sp 4,specialist
Mordellidae sp 2,specialist
Mythimna sp,specialist
Nogodinidae sp,specialist
Paleorhiza sp 1,specialist
Papillio manlius,specialist
Peribaea sp,specialist
Phalanta phalantha ,specialist
Pheidole megacephala,specialist
Psyllidae sp 1,specialist
Psyllidae sp 2,specialist
Pteromalidae sp,specialist
Pterophoridae sp,specialist
Pycnonotus jocosus,specialist
Remigia frugalis,specialist
Sarrothripinae sp,specialist
Scatopsidae sp,specialist
Scirtidae sp 1,specialist
Scirtidae sp 2,specialist
Scolia carniflex,specialist
Scolia oryctophaga ,specialist
Simulium (Byssodon) sp 2,specialist
Simulium sp,specialist
Spilogona sp ,specialist
Spodoptera littoralis,specialist
Strictopterinae sp,specialist
Tettigoniidae sp 1,specialist
Thelairodrino sp,specialist
Zaprionus tuberculatus,specialist
Zaprionus vittiger,specialist
Zizeeria knysa,specialist
Colea colei,specialist
Tristhema mauritiana,specialist
Trochetia blackburniana,specialist
Xylopia lamarckii,specialist
