Site;Animal order;Animal family;Animal species ;Animal code;Origin;No. of visits;Probed flowers ;la
;;;;;;;(mean ± SE);
R;Coleoptera;Cerambycidae;Cerambycidae sp 1;22;Un;2;1.50 ± 0.50;2
U;;;;;;4;2.25 ± 0.25;2
U;;;Cerambycidae sp 2;23;Un;1;1.00;1
R;;;Cerambycidae sp 3;24;Un;2;1.00 ± 0.00;2
U;;;;;;1;2.00;1
R;;;Mauritiborium undulatus;87;E;4;2.25 ± 0.25;3
U;;;;;;14;1.71 ± 0.30;6
R;;Chrysomelidae;Chaetocnema sp;26;I;94;1.64 ± 0.12;15
U;;;;;;702;1.73 ± 0.05;34
U;;;Cryptocephalinae sp;39;Un;1;1.00;1
R;;;Eumolpinae sp 1;52;Un;1;1.00;1
U;;;Eumolpinae sp 2;53;Un;1;2.00;1
U;;;Eumolpinae sp 3;54;Un;5;1.80 ± 0.20;2
R;;Coccinellidae;Hyperaspis hottentota;71;Un;1;2.00;1
R;;Cucujidae;Ahasverus advena;7;I;8;1.50 ± 0.19;5
U;;;;;;14;2.21 ± 0.32;5
U;;Curculionidae;Cratopus psittacus;37;Un;1;7.00;1
R;Coleoptera;Melyridae;Dasytinae sp;40;Un;1;1.00;1
U;;;;;;1;3.00;1
R;;;Pelecophora intemipta;113;Un;9;2.33 ± 0.65;4
U;;;;;;5;2.00 ± 0.32;3
R;;Mordellidae;Mordellidae sp 1;92;Un;6;1.17 ± 0.17;2
U;;;;;;1;3.00;1
R;;;Mordellidae sp 2;93;Un;1;1.00;1
U;;;;;;1;3.00;1
U;;;Mordellidae sp 3;94;Un;1;1.00;1
U;;Nitidulidae;Nitidulidae sp;100;Un;1;1.00;1
R;;Scirtidae;Scirtidae sp 1;131;Un;1;1.00;1
U;;;;;;1;3.00;1
R;;;Scirtidae sp 2;132;Un;1;1.00;1
U;;;;;;1;1.00;1
R;Diptera;Acalyptrate;Acalyptrate sp;1;Un;3;2.00 ± 0.58;1
R;;Agromyzidae;Melanagromyza sojae;88;I;5;4.00 ± 1.05;4
U;;;;;;1;2.00;1
R;;Anthomyiidae;Anthomyia faciata;12;N;1;2.00;1
R;;Bombyliidae;Villa unifasciata;156;N;68;3.06 ± 0.24;19
U;;;;;;51;1.96 ± 0.16;17
R;;Calliphoridae;Chrysomya megacephala;31;N;129;5.16 ± 0.50;27
U;;;;;;67;5.31 ± 0.78;17
R;;;Stomorhina lunata;142;I;444;4.81 ± 0.25;35
U;;;;;;225;5.87 ± 0.39;30
R;;Chironomidae;Chironomidae sp;30;Un;1;1.00;1
R;;Dolichopodidae;Dolichopodidae sp;44;Un;2;1.00 ± 0.00;1
R;;Drosophilidae;Drosophila sp 1;45;Un;1;1.00;1
R;Diptera;Drosophilidae;Drosophila sp 2;46;Un;2;1.00 ± 0.00;1
R;;;Drosophila sp 3;47;Un;5;1.6 ± 0.24;2
R;;;Zaprionus tuberculatus;157;I;3;1.00 ± 0.00;1
R;;;Zaprionus vittiger;158;I;1;1.00;1
R;;Ephydridae;Hyadina sp;68;Un;2;3.00 ± 1.00;2
R;;;Psilopa iceryae;120;I;26;2.27 ± 0.36;11
R;;Fanniidae;Fannia pusio;56;I;95;3.41 ± 0.21;11
U;;;;;;121;3.12 ± 0.20;11
R;;Lauxaniidae;Homoneura quadrivittata;65;E;2;1.00 ± 0.00;1
R;;;Homoneura sp 1;66;E;1;1.00;1
U;;;;;;1;6.00;1
R;;;Homoneura sp 2;67;E;5;2.40 ± 1.17;2
U;;;;;;1;3.00;1
R;;;Lauxania sp;73;Un;1;1.00;1
